Time(s),x(km),y(km),Velocity(m/s),Mach,Thrust(N),Acceleration(m/s2),Mass(kg),mdot(kg/s),Isp(s),Cd,DynPres(kPa)
0,0,0,0.447,0,28.618,0,15.161,0,0,0,0
0.01,5.0078e-07,4.7646e-06,0.447,0.0013139,198.13,3.1906,15.161,0.0954,211.78,0.259,0.00012288
0.02,1.152e-06,1.096e-05,0.47908,0.0014082,367.64,14.312,15.16,0.17702,211.78,0.259,0.0001224
0.03,2.0705e-06,1.97e-05,0.62299,0.0018312,537.16,25.437,15.158,0.25864,211.78,0.259,0.0001406
0.04,3.3734e-06,3.2096e-05,0.87876,0.002583,706.67,36.566,15.155,0.34026,211.78,0.25901,0.00023776
0.05,5.1701e-06,4.9191e-05,1.2464,0.0036637,865.26,46.986,15.152,0.41662,211.78,0.25901,0.00047305
0.06,7.4557e-06,7.0936e-05,1.7189,0.0050524,857.78,46.51,15.148,0.41302,211.78,0.25901,0.00095172
0.07,1.0225e-05,9.7285e-05,2.1865,0.0064271,850.3,46.034,15.144,0.40942,211.78,0.25902,0.0018099
0.08,1.3473e-05,0.00012819,2.6494,0.0077876,842.82,45.558,15.139,0.40582,211.78,0.25902,0.0029288
0.09,1.7195e-05,0.0001636,3.1075,0.0091341,835.34,45.081,15.135,0.40222,211.78,0.25903,0.0043
0.1,2.1388e-05,0.00020349,3.5608,0.010467,829.77,44.728,15.131,0.39954,211.78,0.25903,0.0059155
0.11,2.6055e-05,0.0002479,4.0105,0.011788,837.71,45.264,15.127,0.40336,211.78,0.25903,0.0077671
0.12,3.1205e-05,0.00029689,4.4657,0.013126,845.66,45.8,15.123,0.40719,211.78,0.25904,0.009853
0.13,3.6841e-05,0.00035052,4.9262,0.01448,853.6,46.337,15.119,0.41101,211.78,0.25904,0.012216
0.14,4.297e-05,0.00040883,5.3921,0.01585,861.55,46.874,15.115,0.41484,211.78,0.25905,0.014866
0.15,4.9596e-05,0.00047187,5.8635,0.017235,867.54,47.283,15.111,0.41772,211.78,0.25905,0.01781
0.16,5.6717e-05,0.00053963,6.3389,0.018632,864.92,47.125,15.107,0.41646,211.78,0.25906,0.02106
0.17,6.4332e-05,0.00061208,6.8127,0.020025,862.31,46.968,15.103,0.4152,211.78,0.25906,0.024614
0.18,7.2439e-05,0.00068921,7.285,0.021413,859.69,46.81,15.098,0.41394,211.78,0.25907,0.028431
0.19,8.1036e-05,0.00077101,7.7557,0.022797,857.08,46.651,15.094,0.41268,211.78,0.25907,0.032509
0.2,9.0123e-05,0.00085746,8.2248,0.024176,855.25,46.545,15.09,0.4118,211.78,0.25908,0.036845
0.21,9.9699e-05,0.00094857,8.6928,0.025552,855.81,46.596,15.086,0.41208,211.78,0.25908,0.041436
0.22,0.00010977,0.0010443,9.1613,0.026929,856.38,46.647,15.082,0.41235,211.78,0.25909,0.046286
0.23,0.00012032,0.0011448,9.6303,0.028307,856.94,46.698,15.078,0.41262,211.78,0.25909,0.051409
0.24,0.00013137,0.0012499,10.1,0.029688,857.51,46.749,15.074,0.41289,211.78,0.25909,0.056808
0.25,0.00014291,0.0013597,10.57,0.031069,857.69,46.774,15.07,0.41298,211.78,0.2591,0.062482
0.26,0.00015494,0.0014742,11.04,0.032452,857.02,46.744,15.065,0.41266,211.78,0.2591,0.068432
0.27,0.00016747,0.0015933,11.51,0.033834,856.35,46.713,15.061,0.41234,211.78,0.25911,0.074657
0.28,0.00018048,0.0017171,11.98,0.035214,855.68,46.682,15.057,0.41201,211.78,0.25911,0.081148
0.29,0.00019398,0.0018456,12.449,0.036594,855.02,46.651,15.053,0.41169,211.78,0.25912,0.087904
0.3,0.00020798,0.0019788,12.918,0.037973,854.61,46.637,15.049,0.4115,211.78,0.25912,0.094927
0.31,0.00022246,0.0021166,13.387,0.039351,854.64,46.652,15.045,0.41151,211.78,0.25913,0.10221
0.32,0.00023743,0.002259,13.856,0.04073,854.67,46.667,15.041,0.41153,211.78,0.25913,0.10977
0.33,0.0002529,0.0024062,14.326,0.04211,854.7,46.682,15.037,0.41154,211.78,0.25914,0.11759
0.34,0.00026885,0.002558,14.795,0.043489,854.73,46.696,15.033,0.41156,211.78,0.25914,0.12569
0.35,0.0002853,0.0027145,15.265,0.04487,854.6,46.7,15.028,0.41149,211.78,0.25914,0.13406
0.36,0.00030224,0.0028756,15.734,0.04625,854.25,46.69,15.024,0.41132,211.78,0.25915,0.1427
0.37,0.00031967,0.0030414,16.204,0.04763,853.9,46.679,15.02,0.41116,211.78,0.25915,0.15161
0.38,0.00033759,0.0032119,16.673,0.04901,853.55,46.668,15.016,0.41099,211.78,0.25916,0.16079
0.39,0.00035599,0.0033871,17.142,0.050389,853.2,46.657,15.012,0.41082,211.78,0.25916,0.17024
0.4,0.00037489,0.0035669,17.611,0.051769,852.91,46.65,15.008,0.41068,211.78,0.25917,0.17996
0.41,0.00039428,0.0037514,18.08,0.053147,852.68,46.647,15.004,0.41057,211.78,0.25917,0.18994
0.42,0.00041416,0.0039405,18.55,0.054526,852.45,46.643,15,0.41046,211.78,0.25918,0.20019
0.43,0.00043453,0.0041343,19.019,0.055905,852.22,46.64,14.996,0.41034,211.78,0.25918,0.2107
0.44,0.00045551,0.0043328,19.488,0.057284,851.98,46.636,14.991,0.41023,211.78,0.25919,0.22149
0.45,0.0004771,0.0045359,19.958,0.058666,851.73,46.628,14.987,0.41011,211.78,0.25919,0.23254
0.46,0.0004993,0.0047437,20.428,0.060048,851.47,46.618,14.983,0.40998,211.78,0.2592,0.24389
0.47,0.00052212,0.0049562,20.898,0.06143,851.21,46.609,14.979,0.40986,211.78,0.2592,0.25551
0.48,0.00054556,0.0051733,21.368,0.062812,850.94,46.6,14.975,0.40973,211.78,0.2592,0.2674
0.49,0.00056962,0.0053951,21.838,0.064193,850.68,46.59,14.971,0.4096,211.78,0.25921,0.27956
0.5,0.00059431,0.0056215,22.308,0.065575,850.42,46.581,14.967,0.40948,211.78,0.25921,0.29199
0.51,0.00061962,0.0058526,22.778,0.066956,850.17,46.572,14.963,0.40936,211.78,0.25922,0.30468
0.52,0.00064557,0.0060883,23.247,0.068337,849.92,46.564,14.959,0.40924,211.78,0.25922,0.31764
0.53,0.00067214,0.0063287,23.717,0.069718,849.67,46.555,14.955,0.40912,211.78,0.25923,0.33087
0.54,0.00069936,0.0065738,24.187,0.071099,849.42,46.546,14.95,0.409,211.78,0.25923,0.34437
0.55,0.00072721,0.0068235,24.656,0.07248,849.16,46.536,14.946,0.40887,211.78,0.25924,0.35814
0.56,0.0007557,0.0070779,25.126,0.07386,848.9,46.526,14.942,0.40875,211.78,0.25924,0.37217
0.57,0.00078483,0.0073369,25.595,0.075241,848.63,46.517,14.938,0.40862,211.78,0.25925,0.38647
