Time(s),x(km),y(km),Velocity(m/s),Mach,Thrust(N),Acceleration(m/s2),Mass(kg),mdot(kg/s),Isp(s),Cd,DynPres(kPa)
0,0,0,0.447,0,28.618,0,15.161,0,0,0,0
0.01,9.9264e-07,4.67e-06,0.447,0.0013139,198.13,2.9766,15.161,0.0954,211.78,0.259,0.00012288
0.02,2.281e-06,1.0731e-05,0.47743,0.0014033,367.64,13.915,15.16,0.17702,211.78,0.259,0.0001224
0.03,4.0978e-06,1.9279e-05,0.61969,0.0018215,537.16,24.856,15.158,0.25864,211.78,0.259,0.00013963
0.04,6.6755e-06,3.1406e-05,0.87381,0.0025684,706.67,35.803,15.155,0.34026,211.78,0.25901,0.00023524
0.05,1.0232e-05,4.8138e-05,1.2398,0.0036443,865.26,46.051,15.152,0.41662,211.78,0.25901,0.00046774
0.06,1.4758e-05,6.9429e-05,1.7106,0.0050282,857.78,45.583,15.148,0.41302,211.78,0.25901,0.00094166
0.07,2.0242e-05,9.5232e-05,2.1766,0.006398,850.3,45.115,15.144,0.40942,211.78,0.25902,0.0017926
0.08,2.6676e-05,0.0001255,2.6379,0.0077537,842.82,44.646,15.139,0.40582,211.78,0.25902,0.0029023
0.09,3.4048e-05,0.00016018,3.0943,0.0090953,835.34,44.177,15.135,0.40222,211.78,0.25903,0.0042626
0.1,4.2352e-05,0.00019925,3.5459,0.010423,829.77,43.83,15.131,0.39954,211.78,0.25903,0.0058653
0.11,5.1599e-05,0.00024275,3.994,0.01174,837.71,44.357,15.127,0.40336,211.78,0.25903,0.0077024
0.12,6.18e-05,0.00029075,4.4475,0.013073,845.66,44.885,15.123,0.40719,211.78,0.25904,0.009772
0.13,7.2966e-05,0.00034328,4.9064,0.014422,853.6,45.413,15.119,0.41101,211.78,0.25904,0.012117
0.14,8.5109e-05,0.00040041,5.3707,0.015786,861.55,45.941,15.115,0.41484,211.78,0.25905,0.014746
0.15,9.8237e-05,0.00046217,5.8403,0.017167,867.54,46.343,15.111,0.41772,211.78,0.25905,0.017669
0.16,0.00011235,0.00052855,6.3141,0.01856,864.92,46.188,15.107,0.41646,211.78,0.25906,0.020894
0.17,0.00012743,0.00059953,6.7863,0.019948,862.31,46.033,15.103,0.4152,211.78,0.25906,0.024422
0.18,0.0001435,0.0006751,7.2569,0.021331,859.69,45.878,15.098,0.41394,211.78,0.25907,0.028211
0.19,0.00016053,0.00075525,7.726,0.02271,857.08,45.722,15.094,0.41268,211.78,0.25907,0.032259
0.2,0.00017854,0.00083995,8.1934,0.024084,855.25,45.617,15.09,0.4118,211.78,0.25908,0.036563
0.21,0.00019751,0.00092922,8.6598,0.025454,855.81,45.667,15.086,0.41208,211.78,0.25908,0.041121
0.22,0.00021746,0.0010231,9.1266,0.026827,856.38,45.717,15.082,0.41235,211.78,0.25908,0.045935
0.23,0.00023838,0.0011215,9.594,0.028201,856.94,45.768,15.078,0.41262,211.78,0.25909,0.051021
0.24,0.00026027,0.0012245,10.062,0.029576,857.51,45.818,15.074,0.41289,211.78,0.25909,0.05638
0.25,0.00028314,0.0013321,10.53,0.030953,857.69,45.843,15.07,0.41298,211.78,0.2591,0.062013
0.26,0.00030698,0.0014442,10.999,0.032331,857.02,45.813,15.065,0.41266,211.78,0.2591,0.06792
0.27,0.0003318,0.001561,11.467,0.033707,856.35,45.782,15.061,0.41234,211.78,0.25911,0.0741
0.28,0.00035759,0.0016823,11.935,0.035083,855.68,45.752,15.057,0.41201,211.78,0.25911,0.080544
0.29,0.00038435,0.0018082,12.403,0.036458,855.02,45.721,15.053,0.41169,211.78,0.25912,0.087252
0.3,0.00041208,0.0019387,12.871,0.037832,854.61,45.708,15.049,0.4115,211.78,0.25912,0.094224
0.31,0.00044078,0.0020737,13.338,0.039206,854.64,45.722,15.045,0.41151,211.78,0.25913,0.10146
0.32,0.00047045,0.0022133,13.805,0.04058,854.67,45.737,15.041,0.41153,211.78,0.25913,0.10896
0.33,0.0005011,0.0023575,14.273,0.041954,854.7,45.752,15.037,0.41154,211.78,0.25914,0.11673
0.34,0.00053272,0.0025063,14.741,0.043329,854.73,45.766,15.033,0.41156,211.78,0.25914,0.12477
0.35,0.00056532,0.0026596,15.209,0.044705,854.6,45.77,15.028,0.41149,211.78,0.25914,0.13308
0.36,0.00059888,0.0028175,15.676,0.04608,854.25,45.76,15.024,0.41132,211.78,0.25915,0.14166
0.37,0.00063342,0.00298,16.144,0.047456,853.9,45.749,15.02,0.41116,211.78,0.25915,0.1505
0.38,0.00066893,0.0031471,16.612,0.04883,853.55,45.739,15.016,0.41099,211.78,0.25916,0.15962
0.39,0.00070541,0.0033187,17.08,0.050205,853.2,45.728,15.012,0.41082,211.78,0.25916,0.169
0.4,0.00074287,0.0034949,17.547,0.051579,852.91,45.721,15.008,0.41068,211.78,0.25917,0.17864
0.41,0.00078129,0.0036757,18.015,0.052954,852.68,45.718,15.004,0.41057,211.78,0.25917,0.18855
0.42,0.00082069,0.003861,18.482,0.054328,852.45,45.714,15,0.41046,211.78,0.25918,0.19873
0.43,0.00086106,0.004051,18.949,0.055701,852.22,45.711,14.996,0.41034,211.78,0.25918,0.20917
0.44,0.00090264,0.0042455,19.417,0.057075,851.98,45.707,14.991,0.41023,211.78,0.25919,0.21988
0.45,0.00094543,0.0044445,19.889,0.058464,851.73,45.689,14.987,0.41011,211.78,0.25919,0.23086
0.46,0.00098945,0.0046482,20.361,0.059852,851.47,45.669,14.983,0.40998,211.78,0.25919,0.24222
0.47,0.0010347,0.0048564,20.833,0.06124,851.21,45.65,14.979,0.40986,211.78,0.2592,0.25385
0.48,0.0010812,0.0050691,21.305,0.062628,850.94,45.631,14.975,0.40973,211.78,0.2592,0.26575
0.49,0.0011289,0.0052864,21.777,0.064016,850.68,45.612,14.971,0.4096,211.78,0.25921,0.27793
0.5,0.0011778,0.0055083,22.249,0.065403,850.42,45.593,14.967,0.40948,211.78,0.25921,0.29038
0.51,0.001228,0.0057347,22.721,0.066791,850.17,45.575,14.963,0.40936,211.78,0.25922,0.3031
0.52,0.0012795,0.0059657,23.193,0.068178,849.92,45.557,14.959,0.40924,211.78,0.25922,0.31608
0.53,0.0013322,0.0062013,23.665,0.069566,849.67,45.539,14.955,0.40912,211.78,0.25923,0.32934
0.54,0.0013862,0.0064414,24.137,0.070953,849.42,45.521,14.95,0.409,211.78,0.25923,0.34287
0.55,0.0014414,0.006686,24.609,0.07234,849.16,45.503,14.946,0.40887,211.78,0.25924,0.35668
0.56,0.0014979,0.0069352,25.081,0.073727,848.9,45.484,14.942,0.40875,211.78,0.25924,0.37075
0.57,0.0015557,0.007189,25.552,0.075114,848.63,45.466,14.938,0.40862,211.78,0.25925,0.38509
0.58,0.0016148,0.0074472,26.024,0.076501,848.37,45.447,14.934,0.40849,211.78,0.25925,0.3997
0.59,0.0016752,0.0077101,26.496,0.077887,848.11,45.429,14.93,0.40837,211.78,0.25925,0.41458
0.6,0.0017368,0.0079775,26.967,0.079274,847.85,45.411,14.926,0.40824,211.78,0.25926,0.42973
0.61,0.0017998,0.0082494,27.439,0.08066,847.61,45.393,14.922,0.40812,211.78,0.25926,0.44515
0.62,0.001864,0.0085258,27.91,0.082046,847.36,45.376,14.918,0.408,211.78,0.25927,0.46084
0.63,0.0019296,0.0088068,28.382,0.083432,847.11,45.359,14.914,0.40789,211.78,0.25927,0.4768
0.64,0.0019964,0.0090923,28.853,0.084818,846.86,45.341,14.91,0.40777,211.78,0.25928,0.49303
0.65,0.0020646,0.0093824,29.324,0.086204,846.61,45.324,14.906,0.40765,211.78,0.25928,0.50953
0.66,0.0021341,0.0096769,29.795,0.087589,846.37,45.307,14.901,0.40753,211.78,0.25929,0.5263
0.67,0.0022049,0.0099761,30.267,0.088975,846.12,45.29,14.897,0.40741,211.78,0.25929,0.54333
0.68,0.002277,0.01028,30.738,0.09036,845.87,45.272,14.893,0.40729,211.78,0.2593,0.56064
0.69,0.0023505,0.010588,31.209,0.091745,845.62,45.255,14.889,0.40717,211.78,0.2593,0.57821
0.7,0.0024253,0.010901,31.68,0.09313,845.38,45.238,14.885,0.40705,211.78,0.25931,0.59605
0.71,0.0025014,0.011218,32.151,0.094515,845.13,45.221,14.881,0.40693,211.78,0.25931,0.61416
0.72,0.0025789,0.011539,32.622,0.095899,844.89,45.204,14.877,0.40682,211.78,0.25931,0.63253
0.73,0.0026577,0.011866,33.092,0.097284,844.64,45.187,14.873,0.4067,211.78,0.25932,0.65118
0.74,0.0027378,0.012196,33.563,0.098668,844.4,45.17,14.869,0.40658,211.78,0.25932,0.67009
0.75,0.0028193,0.012532,34.034,0.10005,844.16,45.153,14.865,0.40646,211.78,0.25933,0.68927
0.76,0.0029022,0.012872,34.505,0.10144,843.91,45.136,14.861,0.40635,211.78,0.25933,0.70872
0.77,0.0029864,0.013216,34.975,0.10282,843.67,45.119,14.857,0.40623,211.78,0.25934,0.72843
0.78,0.003072,0.013565,35.446,0.1042,843.43,45.102,14.853,0.40611,211.78,0.25934,0.74841
0.79,0.003159,0.013918,35.916,0.10559,843.18,45.085,14.849,0.40599,211.78,0.25935,0.76866
0.8,0.0032473,0.014276,36.387,0.10697,842.94,45.068,14.845,0.40588,211.78,0.25935,0.78917
0.81,0.003337,0.014638,36.857,0.10835,842.7,45.051,14.84,0.40576,211.78,0.25936,0.80995
0.82,0.003428,0.015005,37.327,0.10974,842.46,45.034,14.836,0.40565,211.78,0.25936,0.83099
0.83,0.0035205,0.015376,37.797,0.11112,842.22,45.017,14.832,0.40553,211.78,0.25937,0.8523
0.84,0.0036143,0.015752,38.267,0.1125,841.47,44.967,14.828,0.40517,211.78,0.25937,0.87388
0.85,0.0037095,0.016132,38.737,0.11388,831.08,44.286,14.824,0.40017,211.78,0.25937,0.89572
0.86,0.003806,0.016517,39.2,0.11524,820.69,43.604,14.82,0.39516,211.78,0.25938,0.91781
