Time(s),x(km),y(km),Velocity(m/s),Mach,Thrust(N),Acceleration(m/s2),Mass(kg),mdot(kg/s),Isp(s),Cd,DynPres(kPa)
0,0,0,0.447,0,28.618,0,15.161,0,0,0,0
0.01,8.3023e-07,4.7085e-06,0.447,0.0013139,198.13,3.0637,15.161,0.0954,211.78,0.259,0.00012288
0.02,1.9087e-06,1.0825e-05,0.47811,0.0014053,367.64,14.076,15.16,0.17702,211.78,0.259,0.0001224
0.03,3.4295e-06,1.945e-05,0.62104,0.0018255,537.16,25.092,15.158,0.25864,211.78,0.259,0.00014003
0.04,5.5872e-06,3.1687e-05,0.87584,0.0025744,706.67,36.114,15.155,0.34026,211.78,0.25901,0.00023627
0.05,8.5636e-06,4.8566e-05,1.2425,0.0036523,865.26,46.431,15.152,0.41662,211.78,0.25901,0.00046992
0.06,1.235e-05,7.0042e-05,1.714,0.0050381,857.78,45.96,15.148,0.41302,211.78,0.25901,0.00094579
0.07,1.6939e-05,9.6067e-05,2.1807,0.0064099,850.3,45.489,15.144,0.40942,211.78,0.25902,0.0017997
0.08,2.2322e-05,0.00012659,2.6426,0.0077676,842.82,45.017,15.139,0.40582,211.78,0.25902,0.0029132
0.09,2.849e-05,0.00016157,3.0997,0.0091113,835.34,44.544,15.135,0.40222,211.78,0.25903,0.0042779
0.1,3.5437e-05,0.00020097,3.552,0.010441,829.77,44.195,15.131,0.39954,211.78,0.25903,0.0058859
0.11,4.3173e-05,0.00024485,4.0008,0.01176,837.71,44.726,15.127,0.40336,211.78,0.25903,0.0077289
0.12,5.1707e-05,0.00029325,4.455,0.013095,845.66,45.257,15.123,0.40719,211.78,0.25904,0.0098053
0.13,6.1049e-05,0.00034622,4.9145,0.014446,853.6,45.789,15.119,0.41101,211.78,0.25904,0.012158
0.14,7.1207e-05,0.00040383,5.3795,0.015812,861.55,46.321,15.115,0.41484,211.78,0.25905,0.014795
0.15,8.2189e-05,0.00046612,5.8498,0.017195,867.54,46.725,15.111,0.41772,211.78,0.25905,0.017727
0.16,9.3992e-05,0.00053305,6.3243,0.01859,864.92,46.569,15.107,0.41646,211.78,0.25906,0.020962
0.17,0.00010661,0.00060464,6.7972,0.01998,862.31,46.413,15.103,0.4152,211.78,0.25906,0.0245
0.18,0.00012005,0.00068084,7.2685,0.021365,859.69,46.257,15.098,0.41394,211.78,0.25907,0.028301
0.19,0.0001343,0.00076166,7.7382,0.022746,857.08,46.1,15.094,0.41268,211.78,0.25907,0.032361
0.2,0.00014936,0.00084707,8.2063,0.024122,855.25,45.994,15.09,0.4118,211.78,0.25908,0.036679
0.21,0.00016523,0.00093709,8.6733,0.025494,855.81,46.045,15.086,0.41208,211.78,0.25908,0.04125
0.22,0.00018192,0.0010317,9.1409,0.026869,856.38,46.095,15.082,0.41235,211.78,0.25908,0.046079
0.23,0.00019942,0.001131,9.6089,0.028245,856.94,46.146,15.078,0.41262,211.78,0.25909,0.05118
0.24,0.00021773,0.0012348,10.078,0.029622,857.51,46.196,15.074,0.41289,211.78,0.25909,0.056556
0.25,0.00023686,0.0013433,10.547,0.031001,857.69,46.222,15.07,0.41298,211.78,0.2591,0.062205
0.26,0.00025681,0.0014564,11.016,0.03238,857.02,46.191,15.065,0.41266,211.78,0.2591,0.06813
0.27,0.00027756,0.0015741,11.485,0.033759,856.35,46.161,15.061,0.41234,211.78,0.25911,0.074328
0.28,0.00029913,0.0016965,11.954,0.035137,855.68,46.13,15.057,0.41201,211.78,0.25911,0.080792
0.29,0.00032152,0.0018234,12.422,0.036514,855.02,46.099,15.053,0.41169,211.78,0.25912,0.08752
0.3,0.00034471,0.001955,12.89,0.03789,854.61,46.086,15.049,0.4115,211.78,0.25912,0.094512
0.31,0.00036872,0.0020911,13.358,0.039266,854.64,46.1,15.045,0.41151,211.78,0.25913,0.10177
0.32,0.00039355,0.0022319,13.826,0.040642,854.67,46.115,15.041,0.41153,211.78,0.25913,0.10929
0.33,0.00041918,0.0023773,14.295,0.042018,854.7,46.13,15.037,0.41154,211.78,0.25914,0.11708
0.34,0.00044563,0.0025273,14.763,0.043395,854.73,46.145,15.033,0.41156,211.78,0.25914,0.12515
0.35,0.00047289,0.0026819,15.232,0.044773,854.6,46.148,15.028,0.41149,211.78,0.25914,0.13348
0.36,0.00050097,0.0028411,15.7,0.04615,854.25,46.138,15.024,0.41132,211.78,0.25915,0.14209
0.37,0.00052986,0.003005,16.169,0.047527,853.9,46.127,15.02,0.41116,211.78,0.25915,0.15096
0.38,0.00055956,0.0031734,16.637,0.048904,853.55,46.117,15.016,0.41099,211.78,0.25916,0.1601
0.39,0.00059008,0.0033465,17.105,0.050281,853.2,46.106,15.012,0.41082,211.78,0.25916,0.16951
0.4,0.00062141,0.0035242,17.574,0.051657,852.91,46.099,15.008,0.41068,211.78,0.25917,0.17918
0.41,0.00065355,0.0037065,18.042,0.053033,852.68,46.096,15.004,0.41057,211.78,0.25917,0.18912
0.42,0.00068651,0.0038934,18.51,0.054409,852.45,46.092,15,0.41046,211.78,0.25918,0.19933
0.43,0.00072027,0.0040849,18.978,0.055785,852.22,46.089,14.996,0.41034,211.78,0.25918,0.2098
0.44,0.00075505,0.004281,19.446,0.057161,851.98,46.085,14.991,0.41023,211.78,0.25919,0.22054
0.45,0.00079084,0.0044817,19.917,0.058547,851.73,46.071,14.987,0.41011,211.78,0.25919,0.23155
0.46,0.00082765,0.004687,20.388,0.059932,851.47,46.055,14.983,0.40998,211.78,0.2592,0.24291
0.47,0.00086549,0.0048969,20.86,0.061318,851.21,46.04,14.979,0.40986,211.78,0.2592,0.25453
0.48,0.00090435,0.0051115,21.331,0.062703,850.94,46.025,14.975,0.40973,211.78,0.2592,0.26643
0.49,0.00094425,0.0053306,21.802,0.064089,850.68,46.01,14.971,0.4096,211.78,0.25921,0.2786
0.5,0.00098519,0.0055543,22.273,0.065474,850.42,45.995,14.967,0.40948,211.78,0.25921,0.29104
0.51,0.0010272,0.0057827,22.745,0.066859,850.17,45.981,14.963,0.40936,211.78,0.25922,0.30375
0.52,0.0010702,0.0060156,23.216,0.068244,849.92,45.966,14.959,0.40924,211.78,0.25922,0.31673
0.53,0.0011143,0.0062531,23.687,0.069629,849.67,45.952,14.955,0.40912,211.78,0.25923,0.32997
0.54,0.0011594,0.0064952,24.158,0.071013,849.42,45.938,14.95,0.409,211.78,0.25923,0.34349
