Time(s),x(km),y(km),Velocity(m/s),Mach,Thrust(N),Acceleration(m/s2),Mass(kg),mdot(kg/s),Isp(s),Cd,DynPres(kPa)
0,0,0,0.447,0,28.618,0,15.161,0,0,0,0
0.01,6.6616e-07,4.74e-06,0.447,0.0013139,198.13,3.135,15.161,0.0954,211.78,0.259,0.00012288
0.02,1.532e-06,1.0901e-05,0.47866,0.001407,367.64,14.209,15.16,0.17702,211.78,0.259,0.0001224
0.03,2.7532e-06,1.959e-05,0.62214,0.0018287,537.16,25.286,15.158,0.25864,211.78,0.259,0.00014035
0.04,4.4856e-06,3.1917e-05,0.87749,0.0025793,706.67,36.368,15.155,0.34026,211.78,0.25901,0.00023711
0.05,6.8749e-06,4.8917e-05,1.2447,0.0036588,865.26,46.743,15.152,0.41662,211.78,0.25901,0.00047168
0.06,9.9144e-06,7.0545e-05,1.7168,0.0050462,857.78,46.269,15.148,0.41302,211.78,0.25901,0.00094914
0.07,1.3598e-05,9.6752e-05,2.184,0.0064196,850.3,45.795,15.144,0.40942,211.78,0.25902,0.0018055
0.08,1.7918e-05,0.00012749,2.6465,0.0077789,842.82,45.321,15.139,0.40582,211.78,0.25902,0.002922
0.09,2.2868e-05,0.00016271,3.1041,0.0091242,835.34,44.846,15.135,0.40222,211.78,0.25903,0.0042904
0.1,2.8444e-05,0.00020239,3.557,0.010455,829.77,44.495,15.131,0.39954,211.78,0.25903,0.0059026
0.11,3.4652e-05,0.00024656,4.0063,0.011776,837.71,45.029,15.127,0.40336,211.78,0.25903,0.0077505
0.12,4.1501e-05,0.0002953,4.461,0.013113,845.66,45.563,15.123,0.40719,211.78,0.25904,0.0098322
0.13,4.8998e-05,0.00034864,4.9211,0.014465,853.6,46.097,15.119,0.41101,211.78,0.25904,0.012191
0.14,5.715e-05,0.00040664,5.3866,0.015833,861.55,46.632,15.115,0.41484,211.78,0.25905,0.014835
0.15,6.5963e-05,0.00046935,5.8575,0.017218,867.54,47.039,15.111,0.41772,211.78,0.25905,0.017774
0.16,7.5435e-05,0.00053675,6.3325,0.018614,864.92,46.882,15.107,0.41646,211.78,0.25906,0.021017
0.17,8.5564e-05,0.00060882,6.806,0.020005,862.31,46.725,15.103,0.4152,211.78,0.25906,0.024564
0.18,9.6347e-05,0.00068555,7.2778,0.021392,859.69,46.567,15.098,0.41394,211.78,0.25907,0.028374
0.19,0.00010778,0.00076691,7.7481,0.022775,857.08,46.41,15.094,0.41268,211.78,0.25907,0.032445
0.2,0.00011987,0.00085291,8.2167,0.024152,855.25,46.304,15.09,0.4118,211.78,0.25908,0.036773
0.21,0.00013261,0.00094354,8.6843,0.025527,855.81,46.355,15.086,0.41208,211.78,0.25908,0.041355
0.22,0.000146,0.0010388,9.1524,0.026903,856.38,46.405,15.082,0.41235,211.78,0.25909,0.046196
0.23,0.00016004,0.0011387,9.621,0.02828,856.94,46.456,15.078,0.41262,211.78,0.25909,0.05131
0.24,0.00017474,0.0012433,10.09,0.029659,857.51,46.507,15.074,0.41289,211.78,0.25909,0.056698
0.25,0.00019009,0.0013525,10.56,0.03104,857.69,46.532,15.07,0.41298,211.78,0.2591,0.062361
0.26,0.00020609,0.0014664,11.03,0.032421,857.02,46.502,15.065,0.41266,211.78,0.2591,0.068301
0.27,0.00022275,0.0015849,11.499,0.033801,856.35,46.471,15.061,0.41234,211.78,0.25911,0.074514
0.28,0.00024006,0.0017081,11.969,0.035181,855.68,46.44,15.057,0.41201,211.78,0.25911,0.080993
0.29,0.00025802,0.0018359,12.438,0.036559,855.02,46.409,15.053,0.41169,211.78,0.25912,0.087737
0.3,0.00027663,0.0019683,12.906,0.037937,854.61,46.395,15.049,0.4115,211.78,0.25912,0.094746
0.31,0.0002959,0.0021054,13.375,0.039314,854.64,46.41,15.045,0.41151,211.78,0.25913,0.10202
0.32,0.00031582,0.0022472,13.843,0.040692,854.67,46.425,15.041,0.41153,211.78,0.25913,0.10956
0.33,0.00033639,0.0023935,14.312,0.04207,854.7,46.44,15.037,0.41154,211.78,0.25914,0.11737
0.34,0.00035761,0.0025445,14.781,0.043448,854.73,46.455,15.033,0.41156,211.78,0.25914,0.12545
0.35,0.00037949,0.0027002,15.25,0.044827,854.6,46.459,15.028,0.41149,211.78,0.25914,0.13381
