Time(s),x(km),y(km),Velocity(m/s),Mach,Thrust(N),Acceleration(m/s2),Mass(kg),mdot(kg/s),Isp(s),Cd,DynPres(kPa)
0,0,0,0.447,0,28.618,0,15.161,0,0,0,0
0.01,1.153e-06,4.6246e-06,0.447,0.0013139,198.13,2.874,15.161,0.0954,211.78,0.259,0.00012288
0.02,2.6483e-06,1.0622e-05,0.47662,0.001401,367.64,13.724,15.16,0.17702,211.78,0.259,0.0001224
0.03,4.7563e-06,1.9077e-05,0.61807,0.0018167,537.16,24.578,15.158,0.25864,211.78,0.259,0.00013916
0.04,7.7479e-06,3.1075e-05,0.87137,0.0025613,706.67,35.437,15.155,0.34026,211.78,0.25901,0.00023401
0.05,1.1876e-05,4.7634e-05,1.2366,0.0036348,865.26,45.602,15.152,0.41662,211.78,0.25901,0.00046513
0.06,1.713e-05,6.8707e-05,1.7066,0.0050163,857.78,45.138,15.148,0.41302,211.78,0.25901,0.00093674
0.07,2.3498e-05,9.4247e-05,2.1718,0.0063837,850.3,44.674,15.144,0.40942,211.78,0.25902,0.0017841
0.08,3.0968e-05,0.00012421,2.6322,0.007737,842.82,44.209,15.139,0.40582,211.78,0.25902,0.0028893
0.09,3.9529e-05,0.00015854,3.0878,0.0090762,835.34,43.744,15.135,0.40222,211.78,0.25903,0.0042443
0.1,4.9172e-05,0.00019722,3.5386,0.010401,829.77,43.4,15.131,0.39954,211.78,0.25903,0.0058407
0.11,5.991e-05,0.00024029,3.9859,0.011716,837.71,43.923,15.127,0.40336,211.78,0.25903,0.0076707
0.12,7.1756e-05,0.0002878,4.4386,0.013047,845.66,44.446,15.123,0.40719,211.78,0.25904,0.0097324
0.13,8.4723e-05,0.00033981,4.8967,0.014393,853.6,44.97,15.119,0.41101,211.78,0.25904,0.012068
0.14,9.8825e-05,0.00039637,5.3601,0.015755,861.55,45.494,15.115,0.41484,211.78,0.25905,0.014688
0.15,0.00011407,0.00045751,5.829,0.017134,867.54,45.892,15.111,0.41772,211.78,0.25905,0.0176
0.16,0.00013046,0.00052323,6.302,0.018524,864.92,45.739,15.107,0.41646,211.78,0.25906,0.020813
0.17,0.00014798,0.00059351,6.7734,0.019909,862.31,45.585,15.103,0.4152,211.78,0.25906,0.024328
0.18,0.00016664,0.00066834,7.2432,0.02129,859.69,45.431,15.098,0.41394,211.78,0.25907,0.028103
0.19,0.00018642,0.00074769,7.7114,0.022667,857.08,45.276,15.094,0.41268,211.78,0.25907,0.032136
0.2,0.00020733,0.00083156,8.178,0.024038,855.25,45.172,15.09,0.4118,211.78,0.25908,0.036425
0.21,0.00022937,0.00091995,8.6435,0.025407,855.81,45.222,15.086,0.41208,211.78,0.25908,0.040967
0.22,0.00025254,0.0010129,9.1096,0.026777,856.38,45.272,15.082,0.41235,211.78,0.25908,0.045763
0.23,0.00027683,0.0011103,9.5762,0.028148,856.94,45.321,15.078,0.41262,211.78,0.25909,0.050831
0.24,0.00030226,0.0012123,10.043,0.029521,857.51,45.371,15.074,0.41289,211.78,0.25909,0.056171
0.25,0.00032882,0.0013188,10.511,0.030896,857.69,45.396,15.07,0.41298,211.78,0.2591,0.061783
0.26,0.00035651,0.0014299,10.979,0.032271,857.02,45.366,15.065,0.41266,211.78,0.2591,0.06767
0.27,0.00038533,0.0015455,11.446,0.033645,856.35,45.336,15.061,0.41234,211.78,0.25911,0.073827
