Time(s),x(km),y(km),Velocity(m/s),Mach,Thrust(N),Acceleration(m/s2),Mass(kg),mdot(kg/s),Isp(s),Cd,DynPres(kPa)
0,0,0,0.447,0,28.618,0,15.161,0,0,0,0
0.01,1.3111e-06,4.5724e-06,0.447,0.0013139,198.13,2.7559,15.161,0.0954,211.78,0.259,0.00012288
0.02,3.0095e-06,1.0495e-05,0.47567,0.0013982,367.64,13.505,15.16,0.17702,211.78,0.259,0.0001224
0.03,5.4035e-06,1.8844e-05,0.61617,0.0018111,537.16,24.258,15.158,0.25864,211.78,0.259,0.00013861
0.04,8.8015e-06,3.0695e-05,0.86852,0.0025529,706.67,35.016,15.155,0.34026,211.78,0.25901,0.00023258
0.05,1.3492e-05,4.7054e-05,1.2328,0.0036236,865.26,45.087,15.152,0.41662,211.78,0.25901,0.0004621
0.06,1.9463e-05,6.7875e-05,1.7018,0.0050023,857.78,44.627,15.148,0.41302,211.78,0.25901,0.00093099
0.07,2.67e-05,9.3114e-05,2.1661,0.0063669,850.3,44.167,15.144,0.40942,211.78,0.25902,0.0017742
0.08,3.519e-05,0.00012272,2.6255,0.0077174,842.82,43.706,15.139,0.40582,211.78,0.25902,0.0028742
0.09,4.492e-05,0.00015666,3.0802,0.0090539,835.34,43.245,15.135,0.40222,211.78,0.25903,0.0042228
0.1,5.5881e-05,0.00019488,3.5301,0.010376,829.77,42.904,15.131,0.39954,211.78,0.25903,0.005812
0.11,6.8087e-05,0.00023745,3.9764,0.011688,837.71,43.422,15.127,0.40336,211.78,0.25903,0.0076337
0.12,8.1552e-05,0.00028441,4.4282,0.013016,845.66,43.941,15.123,0.40719,211.78,0.25904,0.0096861
0.13,9.6293e-05,0.00033581,4.8853,0.01436,853.6,44.46,15.119,0.41101,211.78,0.25904,0.012012
0.14,0.00011232,0.00039172,5.3478,0.015719,861.55,44.979,15.115,0.41484,211.78,0.25905,0.01462
0.15,0.00012965,0.00045216,5.8157,0.017095,867.54,45.374,15.111,0.41772,211.78,0.25905,0.017519
0.16,0.00014828,0.00051712,6.2877,0.018482,864.92,45.221,15.107,0.41646,211.78,0.25906,0.020718
0.17,0.0001682,0.00058659,6.7582,0.019865,862.31,45.069,15.103,0.4152,211.78,0.25906,0.024218
0.18,0.00018941,0.00066055,7.227,0.021243,859.69,44.916,15.098,0.41394,211.78,0.25907,0.027977
0.19,0.0002119,0.00073899,7.6943,0.022616,857.08,44.763,15.094,0.41268,211.78,0.25907,0.031993
0.2,0.00023568,0.0008219,8.1599,0.023985,855.25,44.66,15.09,0.4118,211.78,0.25908,0.036264
0.21,0.00026073,0.00090927,8.6245,0.025351,855.81,44.71,15.086,0.41208,211.78,0.25908,0.040786
0.22,0.00028707,0.0010011,9.0897,0.026718,856.38,44.759,15.082,0.41235,211.78,0.25908,0.045562
0.23,0.00031469,0.0010975,9.5553,0.028087,856.94,44.808,15.078,0.41262,211.78,0.25909,0.050609
0.24,0.0003436,0.0011983,10.021,0.029457,857.51,44.857,15.074,0.41289,211.78,0.25909,0.055926
0.25,0.0003738,0.0013036,10.488,0.030829,857.69,44.882,15.07,0.41298,211.78,0.2591,0.061515
0.26,0.00040528,0.0014134,10.955,0.032201,857.02,44.853,15.065,0.41266,211.78,0.2591,0.067377
0.27,0.00043805,0.0015276,11.422,0.033573,856.35,44.823,15.061,0.41234,211.78,0.25911,0.073508
0.28,0.0004721,0.0016464,11.888,0.034944,855.68,44.793,15.057,0.41201,211.78,0.25911,0.079903
0.29,0.00050743,0.0017696,12.354,0.036313,855.02,44.763,15.053,0.41169,211.78,0.25912,0.086559
0.3,0.00054405,0.0018973,12.82,0.037682,854.61,44.75,15.049,0.4115,211.78,0.25912,0.093477
0.31,0.00058195,0.0020295,13.285,0.039051,854.64,44.764,15.045,0.41151,211.78,0.25913,0.10066
0.32,0.00062114,0.0021662,13.751,0.04042,854.67,44.779,15.041,0.41153,211.78,0.25913,0.1081
0.33,0.00066161,0.0023073,14.217,0.041789,854.7,44.793,15.037,0.41154,211.78,0.25913,0.11581
0.34,0.00070337,0.0024529,14.683,0.043159,854.73,44.807,15.033,0.41156,211.78,0.25914,0.12378
0.35,0.00074641,0.002603,15.149,0.044529,854.6,44.811,15.028,0.41149,211.78,0.25914,0.13203
0.36,0.00079073,0.0027576,15.615,0.045899,854.25,44.801,15.024,0.41132,211.78,0.25915,0.14054
0.37,0.00083634,0.0029167,16.081,0.047269,853.9,44.791,15.02,0.41116,211.78,0.25915,0.14933
0.38,0.00088323,0.0030802,16.547,0.048639,853.55,44.78,15.016,0.41099,211.78,0.25916,0.15837
0.39,0.00093141,0.0032482,17.013,0.050009,853.2,44.77,15.012,0.41082,211.78,0.25916,0.16768
0.4,0.00098087,0.0034207,17.478,0.051378,852.91,44.763,15.008,0.41068,211.78,0.25917,0.17725
0.41,0.0010316,0.0035977,17.944,0.052747,852.68,44.76,15.004,0.41057,211.78,0.25917,0.18708
0.42,0.0010836,0.0037791,18.41,0.054115,852.45,44.756,15,0.41046,211.78,0.25918,0.19718
0.43,0.001137,0.003965,18.875,0.055484,852.22,44.753,14.996,0.41034,211.78,0.25918,0.20754
0.44,0.0011919,0.0041554,19.341,0.056853,851.98,44.75,14.991,0.41023,211.78,0.25918,0.21817
0.45,0.0012484,0.0043503,19.815,0.058247,851.73,44.721,14.987,0.41011,211.78,0.25919,0.22906
0.46,0.0013065,0.0045496,20.29,0.059642,851.47,44.691,14.983,0.40998,211.78,0.25919,0.24043
0.47,0.0013663,0.0047534,20.764,0.061036,851.21,44.661,14.979,0.40986,211.78,0.2592,0.25208
0.48,0.0014277,0.0049617,21.238,0.062431,850.94,44.632,14.975,0.40973,211.78,0.2592,0.264
0.49,0.0014908,0.0051744,21.713,0.063825,850.68,44.603,14.971,0.4096,211.78,0.25921,0.27619
