Time(s),x(km),y(km),Velocity(m/s),Mach,Thrust(N),Acceleration(m/s2),Mass(kg),mdot(kg/s),Isp(s),Cd,DynPres(kPa)
0,0,0,0.447,0,28.618,0,15.161,0,0,0,0
0.01,1.6189e-06,4.4478e-06,0.447,0.0013139,198.13,2.4741,15.161,0.0954,211.78,0.259,0.00012288
0.02,3.7103e-06,1.0194e-05,0.47333,0.0013913,367.64,12.982,15.16,0.17702,211.78,0.259,0.0001224
0.03,6.6568e-06,1.8289e-05,0.61148,0.0017974,537.16,23.494,15.158,0.25864,211.78,0.259,0.00013724
0.04,1.0841e-05,2.9786e-05,0.8615,0.0025323,706.67,34.01,15.155,0.34026,211.78,0.25901,0.00022905
0.05,1.6622e-05,4.5668e-05,1.2234,0.0035961,865.26,43.855,15.152,0.41662,211.78,0.25901,0.00045465
0.06,2.3982e-05,6.589e-05,1.6901,0.0049679,857.78,43.405,15.148,0.41302,211.78,0.25901,0.0009169
0.07,3.2906e-05,9.0408e-05,2.152,0.0063256,850.3,42.956,15.144,0.40942,211.78,0.25902,0.0017499
0.08,4.3377e-05,0.00011918,2.6092,0.0076693,842.82,42.505,15.139,0.40582,211.78,0.25902,0.002837
0.09,5.5378e-05,0.00015215,3.0615,0.0089988,835.34,42.055,15.135,0.40222,211.78,0.25903,0.0041703
0.1,6.8898e-05,0.0001893,3.509,0.010314,829.77,41.722,15.131,0.39954,211.78,0.25903,0.0057415
0.11,8.3955e-05,0.00023067,3.953,0.011619,837.71,42.228,15.127,0.40336,211.78,0.25903,0.0075428
0.12,0.00010057,0.00027631,4.4024,0.01294,845.66,42.735,15.123,0.40719,211.78,0.25904,0.0095723
0.13,0.00011875,0.00032627,4.8572,0.014277,853.6,43.242,15.119,0.41101,211.78,0.25904,0.011872
0.14,0.00013853,0.00038062,5.3173,0.01563,861.55,43.749,15.115,0.41484,211.78,0.25905,0.014452
0.15,0.00015992,0.00043937,5.7829,0.016998,867.54,44.136,15.111,0.41772,211.78,0.25905,0.01732
0.16,0.0001829,0.00050253,6.2526,0.018379,864.92,43.987,15.107,0.41646,211.78,0.25906,0.020485
0.17,0.00020749,0.00057006,6.7207,0.019755,862.31,43.838,15.103,0.4152,211.78,0.25906,0.023948
0.18,0.00023366,0.00064197,7.1872,0.021126,859.69,43.689,15.098,0.41394,211.78,0.25907,0.027668
0.19,0.00026141,0.00071823,7.6521,0.022493,857.08,43.539,15.094,0.41268,211.78,0.25907,0.031642
0.2,0.00029075,0.00079883,8.1155,0.023855,855.25,43.438,15.09,0.4118,211.78,0.25907,0.035868
0.21,0.00032167,0.00088379,8.5777,0.025213,855.81,43.487,15.086,0.41208,211.78,0.25908,0.040343
0.22,0.00035418,0.00097309,9.0405,0.026574,856.38,43.535,15.082,0.41235,211.78,0.25908,0.045069
0.23,0.00038827,0.0010668,9.5038,0.027935,856.94,43.583,15.078,0.41262,211.78,0.25909,0.050063
0.24,0.00042395,0.0011648,9.9676,0.029299,857.51,43.631,15.074,0.41289,211.78,0.25909,0.055325
0.25,0.00046122,0.0012672,10.432,0.030664,857.69,43.655,15.07,0.41298,211.78,0.2591,0.060856
