Time(s),x(km),y(km),Velocity(m/s),Mach,Thrust(N),Acceleration(m/s2),Mass(kg),mdot(kg/s),Isp(s),Cd,DynPres(kPa)
0,0,0,0.447,0,28.618,0,15.161,0,0,0,0
0.01,1.4665e-06,4.5135e-06,0.447,0.0013139,198.13,2.6226,15.161,0.0954,211.78,0.259,0.00012288
0.02,3.3638e-06,1.0353e-05,0.47458,0.001395,367.64,13.258,15.16,0.17702,211.78,0.259,0.0001224
0.03,6.0375e-06,1.8582e-05,0.61398,0.0018047,537.16,23.896,15.158,0.25864,211.78,0.259,0.00013797
0.04,9.8335e-06,3.0265e-05,0.86524,0.0025433,706.67,34.54,15.155,0.34026,211.78,0.25901,0.00023093
0.05,1.5076e-05,4.6398e-05,1.2284,0.0036108,865.26,44.504,15.152,0.41662,211.78,0.25901,0.00045861
0.06,2.1749e-05,6.6936e-05,1.6964,0.0049862,857.78,44.049,15.148,0.41302,211.78,0.25901,0.00092439
0.07,2.9839e-05,9.1834e-05,2.1595,0.0063476,850.3,43.594,15.144,0.40942,211.78,0.25902,0.0017628
0.08,3.933e-05,0.00012104,2.6179,0.0076949,842.82,43.138,15.139,0.40582,211.78,0.25902,0.0028568
0.09,5.0208e-05,0.00015452,3.0715,0.0090282,835.34,42.682,15.135,0.40222,211.78,0.25903,0.0041982
0.1,6.2462e-05,0.00019224,3.5202,0.010347,829.77,42.345,15.131,0.39954,211.78,0.25903,0.005779
0.11,7.6109e-05,0.00023424,3.9655,0.011656,837.71,42.857,15.127,0.40336,211.78,0.25903,0.0075912
0.12,9.1164e-05,0.00028057,4.4161,0.012981,845.66,43.37,15.123,0.40719,211.78,0.25904,0.0096328
0.13,0.00010765,0.0003313,4.8721,0.014321,853.6,43.884,15.119,0.41101,211.78,0.25904,0.011946
0.14,0.00012557,0.00038646,5.3336,0.015677,861.55,44.397,15.115,0.41484,211.78,0.25905,0.014541
0.15,0.00014495,0.00044611,5.8004,0.01705,867.54,44.788,15.111,0.41772,211.78,0.25905,0.017426
0.16,0.00016578,0.00051022,6.2713,0.018434,864.92,44.637,15.107,0.41646,211.78,0.25906,0.020609
0.17,0.00018805,0.00057877,6.7406,0.019813,862.31,44.486,15.103,0.4152,211.78,0.25906,0.024092
0.18,0.00021177,0.00065176,7.2084,0.021188,859.69,44.335,15.098,0.41394,211.78,0.25907,0.027832
0.19,0.00023692,0.00072917,7.6746,0.022559,857.08,44.184,15.094,0.41268,211.78,0.25907,0.031829
0.2,0.00026351,0.00081099,8.1392,0.023924,855.25,44.082,15.09,0.4118,211.78,0.25908,0.036079
0.21,0.00029152,0.00089721,8.6027,0.025287,855.81,44.131,15.086,0.41208,211.78,0.25908,0.040578
0.22,0.00032098,0.00098786,9.0667,0.026651,856.38,44.18,15.082,0.41235,211.78,0.25908,0.045331
0.23,0.00035187,0.0010829,9.5312,0.028016,856.94,44.229,15.078,0.41262,211.78,0.25909,0.050353
0.24,0.00038419,0.0011824,9.9963,0.029383,857.51,44.277,15.074,0.41289,211.78,0.25909,0.055645
0.25,0.00041796,0.0012864,10.462,0.030752,857.69,44.302,15.07,0.41298,211.78,0.2591,0.061206
0.26,0.00045317,0.0013947,10.928,0.032121,857.02,44.272,15.065,0.41266,211.78,0.2591,0.06704
0.27,0.00048981,0.0015075,11.393,0.033489,856.35,44.243,15.061,0.41234,211.78,0.25911,0.073142
0.28,0.00052789,0.0016247,11.858,0.034857,855.68,44.214,15.057,0.41201,211.78,0.25911,0.079505
0.29,0.00056741,0.0017463,12.323,0.036223,855.02,44.184,15.053,0.41169,211.78,0.25912,0.086129
0.3,0.00060836,0.0018723,12.788,0.037589,854.61,44.171,15.049,0.4115,211.78,0.25912,0.093014
0.31,0.00065075,0.0020028,13.252,0.038954,854.64,44.185,15.045,0.41151,211.78,0.25913,0.10016
