Time(s),x(km),y(km),Velocity(m/s),Mach,Thrust(N),Acceleration(m/s2),Mass(kg),mdot(kg/s),Isp(s),Cd,DynPres(kPa)
0,0,0,0.447,0,0,0,15.161,0,0,0,0
0.0025,4.2358e-08,1.213e-06,0.447,0.0013139,382.17,15.386,15.161,0.19464,200.22,0.259,0.00012288
0.005,9.0817e-08,2.6006e-06,0.48549,0.001427,572.73,27.949,15.16,0.29169,200.22,0.259,0.0001224
0.0075,1.474e-07,4.2211e-06,0.5554,0.0016325,713.67,37.243,15.159,0.36347,200.22,0.259,0.00014439
0.01,2.1424e-07,6.1351e-06,0.64857,0.0019064,861.28,46.977,15.158,0.43864,200.22,0.25901,0.00018897
0.0125,2.9228e-07,8.3697e-06,0.76608,0.0022518,926.69,51.294,15.157,0.47196,200.22,0.25901,0.00025768
0.015,3.8208e-07,1.0941e-05,0.8944,0.002629,966.67,53.935,15.156,0.49232,200.22,0.25901,0.00035952
0.0175,4.8403e-07,1.3861e-05,1.0293,0.0030255,991.96,55.608,15.155,0.5052,200.22,0.25901,0.00049004
0.02,5.9835e-07,1.7134e-05,1.1684,0.0034344,1008.6,56.709,15.154,0.51366,200.22,0.25901,0.00064903
0.0225,7.2521e-07,2.0767e-05,1.3103,0.0038514,1019.7,57.447,15.152,0.51931,200.22,0.25901,0.00083631
0.025,8.6471e-07,2.4762e-05,1.454,0.0042738,1027.2,57.948,15.151,0.52313,200.22,0.25901,0.0010517
0.0275,1.0169e-06,2.9121e-05,1.5989,0.0046999,1032.3,58.294,15.15,0.52576,200.22,0.25901,0.0012951
0.03,1.1819e-06,3.3846e-05,1.7448,0.0051285,1035.8,58.531,15.148,0.52755,200.22,0.25902,0.0015662
0.0325,1.3598e-06,3.8938e-05,1.8912,0.0055589,1038.3,58.696,15.147,0.52878,200.22,0.25902,0.0018648
0.035,1.5504e-06,4.4398e-05,2.038,0.0059905,1040,58.815,15.146,0.52965,200.22,0.25902,0.002191
0.0375,1.7539e-06,5.0225e-05,2.1851,0.0064229,1041.1,58.892,15.144,0.5302,200.22,0.25902,0.0025444
0.04,1.9703e-06,5.6422e-05,2.3325,0.006856,1041.9,58.953,15.143,0.53063,200.22,0.25902,0.002925
0.0425,2.1995e-06,6.2986e-05,2.4799,0.0072894,1042.4,58.994,15.142,0.5309,200.22,0.25902,0.0033327
0.045,2.4417e-06,6.992e-05,2.6275,0.0077232,1042.7,59.02,15.14,0.53105,200.22,0.25902,0.0037675
0.0475,2.6967e-06,7.7223e-05,2.7751,0.0081572,1043,59.043,15.139,0.53118,200.22,0.25903,0.0042292
0.05,2.9646e-06,8.4894e-05,2.9228,0.0085913,1043.1,59.058,15.138,0.53126,200.22,0.25903,0.0047178
0.0525,3.2454e-06,9.2935e-05,3.0706,0.0090256,1043.2,59.07,15.137,0.5313,200.22,0.25903,0.0052333
0.055,3.5391e-06,0.00010135,3.2183,0.0094599,1043.3,59.079,15.135,0.53133,200.22,0.25903,0.0057757
0.0575,3.8456e-06,0.00011012,3.3661,0.0098943,1043.2,59.083,15.134,0.53131,200.22,0.25903,0.006345
0.06,4.1651e-06,0.00011927,3.5139,0.010329,1043.3,59.09,15.133,0.53132,200.22,0.25903,0.0069411
