Time(s),x(km),y(km),Velocity(m/s),Mach,Thrust(N),Acceleration(m/s2),Mass(kg),mdot(kg/s),Isp(s),Cd,DynPres(kPa)
0,0,0,0.447,0,0,0,15.161,0,0,0,0
0.0025,2.9318e-07,1.1759e-06,0.447,0.0013139,382.17,14.653,15.161,0.19464,200.22,0.259,0.00012288
0.005,6.282e-07,2.5196e-06,0.48475,0.0014249,572.73,26.85,15.16,0.29169,200.22,0.259,0.0001224
0.0075,1.0191e-06,4.0875e-06,0.55393,0.0016282,713.67,35.873,15.159,0.36347,200.22,0.259,0.00014395
0.01,1.4807e-06,5.9387e-06,0.64636,0.0018999,861.28,45.324,15.158,0.43864,200.22,0.25901,0.00018797
0.0125,2.0194e-06,8.0993e-06,0.76314,0.0022431,926.69,49.515,15.157,0.47196,200.22,0.25901,0.00025593
0.015,2.6393e-06,1.0585e-05,0.89072,0.0026181,966.67,52.079,15.156,0.49232,200.22,0.25901,0.00035676
0.0175,3.3428e-06,1.3407e-05,1.0249,0.0030126,991.96,53.704,15.155,0.5052,200.22,0.25901,0.00048602
0.02,4.1317e-06,1.6571e-05,1.1633,0.0034193,1008.6,54.772,15.154,0.51366,200.22,0.25901,0.00064348
0.0225,5.0071e-06,2.0082e-05,1.3044,0.0038341,1019.7,55.489,15.152,0.51931,200.22,0.25901,0.00082896
0.025,5.9697e-06,2.3943e-05,1.4474,0.0042543,1027.2,55.975,15.151,0.52313,200.22,0.25901,0.0010423
0.0275,7.02e-06,2.8156e-05,1.5916,0.0046783,1032.3,56.311,15.15,0.52576,200.22,0.25901,0.0012833
0.03,8.1585e-06,3.2722e-05,1.7367,0.0051047,1035.8,56.542,15.148,0.52755,200.22,0.25902,0.0015518
0.0325,9.3853e-06,3.7642e-05,1.8824,0.0055329,1038.3,56.702,15.147,0.52878,200.22,0.25902,0.0018476
0.035,1.0701e-05,4.2918e-05,2.0284,0.0059624,1040,56.817,15.146,0.52965,200.22,0.25902,0.0021706
0.0375,1.2105e-05,4.8549e-05,2.1748,0.0063927,1041.1,56.892,15.144,0.5302,200.22,0.25902,0.0025206
0.04,1.3597e-05,5.4536e-05,2.3214,0.0068235,1041.9,56.951,15.143,0.53063,200.22,0.25902,0.0028975
