Time(s),x(km),y(km),Velocity(m/s),Mach,Thrust(N),Acceleration(m/s2),Mass(kg),mdot(kg/s),Isp(s),Cd,DynPres(kPa)
0,0,0,0.447,0,0,0,15.161,0,0,0,0
0.0025,1.2684e-07,1.2068e-06,0.447,0.0013139,382.17,15.263,15.161,0.19464,200.22,0.259,0.00012288
0.005,2.7191e-07,2.5871e-06,0.48537,0.0014267,572.73,27.765,15.16,0.29169,200.22,0.259,0.0001224
0.0075,4.413e-07,4.1987e-06,0.55516,0.0016318,713.67,37.013,15.159,0.36347,200.22,0.259,0.00014432
0.01,6.4137e-07,6.1022e-06,0.64821,0.0019053,861.28,46.701,15.158,0.43864,200.22,0.25901,0.00018881
0.0125,8.7494e-07,8.3245e-06,0.7656,0.0022504,926.69,50.996,15.157,0.47196,200.22,0.25901,0.00025739
0.015,1.1437e-06,1.0882e-05,0.8938,0.0026272,966.67,53.625,15.156,0.49232,200.22,0.25901,0.00035907
0.0175,1.4488e-06,1.3785e-05,1.0286,0.0030234,991.96,55.289,15.155,0.5052,200.22,0.25901,0.00048938
0.02,1.791e-06,1.704e-05,1.1676,0.0034319,1008.6,56.385,15.154,0.51366,200.22,0.25901,0.00064813
0.0225,2.1707e-06,2.0653e-05,1.3093,0.0038486,1019.7,57.12,15.152,0.51931,200.22,0.25901,0.00083511
0.025,2.5882e-06,2.4625e-05,1.4529,0.0042706,1027.2,57.617,15.151,0.52313,200.22,0.25901,0.0010502
0.0275,3.0438e-06,2.896e-05,1.5977,0.0046963,1032.3,57.962,15.15,0.52576,200.22,0.25901,0.0012931
0.03,3.5376e-06,3.3658e-05,1.7434,0.0051246,1035.8,58.198,15.148,0.52755,200.22,0.25902,0.0015638
0.0325,4.0698e-06,3.8721e-05,1.8897,0.0055546,1038.3,58.362,15.147,0.52878,200.22,0.25902,0.001862
0.035,4.6404e-06,4.415e-05,2.0364,0.0059859,1040,58.48,15.146,0.52965,200.22,0.25902,0.0021876
0.0375,5.2494e-06,4.9945e-05,2.1835,0.006418,1041.1,58.558,15.144,0.5302,200.22,0.25902,0.0025405
0.04,5.897e-06,5.6106e-05,2.3307,0.0068507,1041.9,58.618,15.143,0.53063,200.22,0.25902,0.0029205
0.0425,6.5831e-06,6.2634e-05,2.478,0.0072838,1042.4,58.659,15.142,0.5309,200.22,0.25902,0.0033276
0.045,7.3077e-06,6.9528e-05,2.6255,0.0077172,1042.7,58.684,15.14,0.53105,200.22,0.25902,0.0037616
0.0475,8.0709e-06,7.679e-05,2.773,0.0081508,1043,58.707,15.139,0.53118,200.22,0.25903,0.0042226
0.05,8.8727e-06,8.4418e-05,2.9206,0.0085846,1043.1,58.723,15.138,0.53126,200.22,0.25903,0.0047104
0.0525,9.7131e-06,9.2414e-05,3.0682,0.0090185,1043.2,58.735,15.137,0.5313,200.22,0.25903,0.0052252
0.055,1.0592e-05,0.00010078,3.2158,0.0094525,1043.3,58.744,15.135,0.53133,200.22,0.25903,0.0057667
0.0575,1.151e-05,0.00010951,3.3635,0.0098865,1043.2,58.747,15.134,0.53131,200.22,0.25903,0.0063351
0.06,1.2466e-05,0.0001186,3.5112,0.010321,1043.3,58.754,15.133,0.53132,200.22,0.25903,0.0069302
0.0625,1.346e-05,0.00012807,3.6589,0.010755,1043.2,58.758,15.131,0.5313,200.22,0.25903,0.0075521
0.065,1.4494e-05,0.0001379,3.8066,0.011189,1043.2,58.762,15.13,0.53129,200.22,0.25904,0.0082008
0.0675,1.5566e-05,0.0001481,3.9543,0.011623,1043.2,58.768,15.129,0.53129,200.22,0.25904,0.0088763
0.07,1.6676e-05,0.00015866,4.102,0.012057,1043.1,58.767,15.127,0.53124,200.22,0.25904,0.0095785
0.0725,1.7825e-05,0.0001696,4.2497,0.012492,1043.1,58.773,15.126,0.53124,200.22,0.25904,0.010308
0.075,1.9013e-05,0.0001809,4.3975,0.012926,1043,58.774,15.125,0.53121,200.22,0.25904,0.011063
0.0775,2.024e-05,0.00019257,4.5452,0.01336,1043,58.778,15.123,0.53119,200.22,0.25904,0.011846
0.08,2.1505e-05,0.0002046,4.693,0.013794,1042.9,58.78,15.122,0.53116,200.22,0.25904,0.012655
0.0825,2.2808e-05,0.000217,4.8407,0.014229,1042.9,58.783,15.121,0.53114,200.22,0.25905,0.013491
0.085,2.415e-05,0.00022978,4.9885,0.014663,1042.8,58.782,15.119,0.53108,200.22,0.25905,0.014354
0.0875,2.5531e-05,0.00024291,5.1363,0.015097,1042.8,58.785,15.118,0.53107,200.22,0.25905,0.015244
0.09,2.6951e-05,0.00025642,5.284,0.015532,1042.7,58.787,15.117,0.53104,200.22,0.25905,0.016161
0.0925,2.8409e-05,0.00027029,5.4318,0.015966,1042.7,58.79,15.115,0.53102,200.22,0.25905,0.017104
0.095,2.9905e-05,0.00028453,5.5796,0.016401,1042.6,58.793,15.114,0.53099,200.22,0.25905,0.018074
0.0975,3.1441e-05,0.00029914,5.7274,0.016835,1042.6,58.795,15.113,0.53097,200.22,0.25905,0.019071
0.1,3.3015e-05,0.00031411,5.8752,0.017269,1042.5,58.793,15.111,0.53091,200.22,0.25906,0.020094
0.1025,3.4627e-05,0.00032946,6.023,0.017704,1042.4,58.798,15.11,0.5309,200.22,0.25906,0.021145
0.105,3.6278e-05,0.00034517,6.1708,0.018138,1042.4,58.799,15.109,0.53087,200.22,0.25906,0.022222
0.1075,3.7968e-05,0.00036124,6.3186,0.018573,1042.3,58.802,15.107,0.53085,200.22,0.25906,0.023326
0.11,3.9697e-05,0.00037769,6.4664,0.019007,1042.3,58.804,15.106,0.53082,200.22,0.25906,0.024457
0.1125,4.1464e-05,0.0003945,6.6142,0.019442,1042.2,58.807,15.105,0.5308,200.22,0.25906,0.025614
0.115,4.3269e-05,0.00041168,6.7621,0.019876,1042.1,58.806,15.103,0.53074,200.22,0.25906,0.026799
