Time(s),x(km),y(km),Velocity(m/s),Mach,Thrust(N),Acceleration(m/s2),Mass(kg),mdot(kg/s),Isp(s),Cd,DynPres(kPa)
0,0,0,0.447,0,0,0,15.161,0,0,0,0
0.0025,4.1378e-07,1.1369e-06,0.447,0.0013139,382.17,13.881,15.161,0.19464,200.22,0.259,0.00012288
0.005,8.8602e-07,2.4343e-06,0.48393,0.0014224,572.73,25.694,15.16,0.29169,200.22,0.259,0.0001224
0.0075,1.4366e-06,3.947e-06,0.55229,0.0016234,713.67,34.432,15.159,0.36347,200.22,0.259,0.00014346
0.01,2.0863e-06,5.732e-06,0.64389,0.0018926,861.28,43.585,15.158,0.43864,200.22,0.25901,0.00018685
0.0125,2.8444e-06,7.8149e-06,0.75985,0.0022335,926.69,47.644,15.157,0.47196,200.22,0.25901,0.00025398
0.015,3.7165e-06,1.0211e-05,0.8866,0.0026061,966.67,50.128,15.156,0.49232,200.22,0.25901,0.00035369
0.0175,4.7062e-06,1.293e-05,1.02,0.0029981,991.96,51.7,15.155,0.5052,200.22,0.25901,0.00048154
0.02,5.8159e-06,1.5979e-05,1.1575,0.0034024,1008.6,52.736,15.154,0.51366,200.22,0.25901,0.0006373
0.0225,7.0472e-06,1.9362e-05,1.2978,0.0038147,1019.7,53.43,15.152,0.51931,200.22,0.25901,0.00082077
0.025,8.401e-06,2.3082e-05,1.44,0.0042326,1027.2,53.9,15.151,0.52313,200.22,0.25901,0.0010318
0.0275,9.8782e-06,2.714e-05,1.5834,0.0046541,1032.3,54.226,15.15,0.52576,200.22,0.25901,0.0012702
0.03,1.1479e-05,3.1539e-05,1.7276,0.0050781,1035.8,54.449,15.148,0.52755,200.22,0.25902,0.0015358
0.0325,1.3205e-05,3.6279e-05,1.8725,0.0055039,1038.3,54.604,15.147,0.52878,200.22,0.25902,0.0018284
0.035,1.5054e-05,4.1361e-05,2.0178,0.0059309,1040,54.716,15.146,0.52965,200.22,0.25902,0.0021479
0.0375,1.7029e-05,4.6786e-05,2.1633,0.0063588,1041.1,54.789,15.144,0.5302,200.22,0.25902,0.002494
0.04,1.9128e-05,5.2553e-05,2.3091,0.0067872,1041.9,54.846,15.143,0.53063,200.22,0.25902,0.0028669
0.0425,2.1352e-05,5.8664e-05,2.455,0.0072161,1042.4,54.884,15.142,0.5309,200.22,0.25902,0.0032662
0.045,2.3701e-05,6.5117e-05,2.601,0.0076453,1042.7,54.908,15.14,0.53105,200.22,0.25902,0.0036921
0.0475,2.6175e-05,7.1914e-05,2.7471,0.0080747,1043,54.93,15.139,0.53118,200.22,0.25903,0.0041443
0.05,2.8773e-05,7.9054e-05,2.8932,0.0085043,1043.1,54.945,15.138,0.53126,200.22,0.25903,0.0046229
0.0525,3.1497e-05,8.6538e-05,3.0394,0.0089339,1043.2,54.956,15.137,0.5313,200.22,0.25903,0.0051278
0.055,3.4346e-05,9.4365e-05,3.1856,0.0093637,1043.3,54.965,15.135,0.53133,200.22,0.25903,0.0056591
0.0575,3.732e-05,0.00010254,3.3318,0.0097935,1043.2,54.968,15.134,0.53131,200.22,0.25903,0.0062166
0.06,4.0419e-05,0.00011105,3.4781,0.010223,1043.3,54.974,15.133,0.53132,200.22,0.25903,0.0068004
0.0625,4.3643e-05,0.00011991,3.6243,0.010653,1043.2,54.978,15.131,0.5313,200.22,0.25903,0.0074105
0.065,4.6992e-05,0.00012911,3.7706,0.011083,1043.2,54.982,15.13,0.53129,200.22,0.25904,0.0080468
0.0675,5.0467e-05,0.00013866,3.9169,0.011513,1043.2,54.988,15.129,0.53129,200.22,0.25904,0.0087094
0.07,5.4066e-05,0.00014854,4.0632,0.011943,1043.1,54.987,15.127,0.53124,200.22,0.25904,0.0093982
0.0725,5.779e-05,0.00015878,4.2095,0.012373,1043.1,54.992,15.126,0.53124,200.22,0.25904,0.010113
0.075,6.164e-05,0.00016935,4.3558,0.012803,1043,54.993,15.125,0.53121,200.22,0.25904,0.010855
0.0775,6.5614e-05,0.00018027,4.5021,0.013233,1043,54.996,15.123,0.53119,200.22,0.25904,0.011622
0.08,6.9714e-05,0.00019154,4.6484,0.013663,1042.9,54.999,15.122,0.53116,200.22,0.25904,0.012416
0.0825,7.3939e-05,0.00020315,4.7947,0.014093,1042.9,55.002,15.121,0.53114,200.22,0.25905,0.013236
0.085,7.8289e-05,0.0002151,4.941,0.014524,1042.8,55,15.119,0.53108,200.22,0.25905,0.014083
0.0875,8.2764e-05,0.00022739,5.0874,0.014954,1042.8,55.004,15.118,0.53107,200.22,0.25905,0.014955
0.09,8.7364e-05,0.00024003,5.2337,0.015384,1042.7,55.006,15.117,0.53104,200.22,0.25905,0.015854
0.0925,9.2089e-05,0.00025301,5.38,0.015814,1042.7,55.008,15.115,0.53102,200.22,0.25905,0.016779
0.095,9.694e-05,0.00026634,5.5264,0.016244,1042.6,55.011,15.114,0.53099,200.22,0.25905,0.017731
0.0975,0.00010192,0.00028001,5.6727,0.016674,1042.6,55.013,15.113,0.53097,200.22,0.25905,0.018709
0.1,0.00010702,0.00029402,5.8191,0.017105,1042.5,55.012,15.111,0.53091,200.22,0.25906,0.019713
0.1025,0.00011224,0.00030838,5.9655,0.017535,1042.4,55.016,15.11,0.5309,200.22,0.25906,0.020743
0.105,0.00011759,0.00032308,6.1118,0.017965,1042.4,55.017,15.109,0.53087,200.22,0.25906,0.021799
0.1075,0.00012307,0.00033813,6.2582,0.018395,1042.3,55.02,15.107,0.53085,200.22,0.25906,0.022882
0.11,0.00012867,0.00035352,6.4046,0.018825,1042.3,55.022,15.106,0.53082,200.22,0.25906,0.023991
0.1125,0.0001344,0.00036925,6.5509,0.019256,1042.2,55.025,15.105,0.5308,200.22,0.25906,0.025127
0.115,0.00014025,0.00038533,6.6973,0.019686,1042.1,55.023,15.103,0.53074,200.22,0.25906,0.026288
0.1175,0.00014623,0.00040175,6.8437,0.020116,1042.1,55.027,15.102,0.53073,200.22,0.25907,0.027476
0.12,0.00015233,0.00041852,6.9901,0.020547,1042,55.029,15.101,0.5307,200.22,0.25907,0.028691
0.1225,0.00015856,0.00043563,7.1365,0.020977,1042,55.031,15.099,0.53068,200.22,0.25907,0.029931
0.125,0.00016491,0.00045308,7.2829,0.021407,1041.9,55.033,15.098,0.53065,200.22,0.25907,0.031198
0.1275,0.00017139,0.00047088,7.4293,0.021838,1041.9,55.035,15.097,0.53063,200.22,0.25907,0.032491
0.13,0.00017799,0.00048902,7.5758,0.022268,1041.8,55.034,15.095,0.53057,200.22,0.25907,0.033811
0.1325,0.00018472,0.0005075,7.7222,0.022698,1041.8,55.038,15.094,0.53056,200.22,0.25907,0.035156
0.135,0.00019157,0.00052633,7.8686,0.023129,1041.7,55.042,15.093,0.53055,200.22,0.25908,0.036528
0.1375,0.00019855,0.00054551,8.015,0.023559,1041.7,55.044,15.091,0.53052,200.22,0.25908,0.037927
0.14,0.00020565,0.00056502,8.1615,0.02399,1041.6,55.046,15.09,0.5305,200.22,0.25908,0.039351
0.1425,0.00021288,0.00058489,8.3079,0.02442,1041.6,55.048,15.089,0.53047,200.22,0.25908,0.040802
0.145,0.00022023,0.00060509,8.4544,0.024851,1041.5,55.047,15.087,0.53042,200.22,0.25908,0.04228
0.1475,0.00022771,0.00062564,8.6008,0.025281,1041.5,55.051,15.086,0.53041,200.22,0.25908,0.043783
0.15,0.00023532,0.00064653,8.7473,0.025712,1041.4,55.052,15.085,0.53038,200.22,0.25908,0.045313
0.1525,0.00024305,0.00066777,8.8937,0.026142,1041.4,55.055,15.083,0.53036,200.22,0.25909,0.046869
0.155,0.0002509,0.00068935,9.0402,0.026573,1041.3,55.057,15.082,0.53033,200.22,0.25909,0.048452
0.1575,0.00025888,0.00071128,9.1867,0.027003,1041.3,55.059,15.081,0.5303,200.22,0.25909,0.050061
0.16,0.00026699,0.00073355,9.3332,0.027434,1041.2,55.058,15.079,0.53025,200.22,0.25909,0.051696
0.1625,0.00027522,0.00075616,9.4796,0.027864,1041.1,55.061,15.078,0.53024,200.22,0.25909,0.053358
0.165,0.00028358,0.00077912,9.6261,0.028295,1041.1,55.063,15.077,0.53021,200.22,0.25909,0.055046
0.1675,0.00029206,0.00080242,9.7726,0.028726,1041,55.065,15.075,0.53019,200.22,0.25909,0.05676
0.17,0.00030066,0.00082607,9.9191,0.029156,1041,55.067,15.074,0.53016,200.22,0.2591,0.058501
0.1725,0.0003094,0.00085006,10.066,0.029587,1040.9,55.069,15.073,0.53014,200.22,0.2591,0.060268
0.175,0.00031825,0.00087439,10.212,0.030018,1040.8,55.068,15.071,0.53009,200.22,0.2591,0.062061
0.1775,0.00032724,0.00089907,10.359,0.030448,1040.8,55.071,15.07,0.53007,200.22,0.2591,0.06388
0.18,0.00033634,0.0009241,10.505,0.030879,1040.8,55.073,15.069,0.53005,200.22,0.2591,0.065726
0.1825,0.00034558,0.00094946,10.652,0.03131,1040.7,55.075,15.068,0.53002,200.22,0.2591,0.067599
0.185,0.00035494,0.00097518,10.798,0.03174,1040.7,55.077,15.066,0.52999,200.22,0.2591,0.069497
0.1875,0.00036442,0.0010012,10.945,0.032171,1040.5,55.076,15.065,0.52994,200.22,0.25911,0.071422
0.19,0.00037403,0.0010276,11.091,0.032602,1040.5,55.08,15.064,0.52993,200.22,0.25911,0.073374
0.1925,0.00038376,0.0010544,11.238,0.033032,1040.5,55.081,15.062,0.5299,200.22,0.25911,0.075351
0.195,0.00039362,0.0010815,11.384,0.033463,1040.4,55.083,15.061,0.52988,200.22,0.25911,0.077355
0.1975,0.00040361,0.0011089,11.531,0.033894,1040.4,55.085,15.06,0.52985,200.22,0.25911,0.079386
0.2,0.00041372,0.0011367,11.677,0.034325,1040.3,55.088,15.058,0.52983,200.22,0.25911,0.081442
0.2025,0.00042395,0.0011648,11.824,0.034756,1040.2,55.086,15.057,0.52978,200.22,0.25911,0.083525
0.205,0.00043431,0.0011933,11.971,0.035186,1040.2,55.092,15.056,0.52978,200.22,0.25912,0.085635
0.2075,0.0004448,0.0012221,12.117,0.035617,1040.2,55.093,15.054,0.52975,200.22,0.25912,0.087771
0.21,0.00045541,0.0012512,12.264,0.036048,1040.1,55.096,15.053,0.52973,200.22,0.25912,0.089933
0.2125,0.00046615,0.0012807,12.41,0.036479,1040.1,55.098,15.052,0.5297,200.22,0.25912,0.092122
0.215,0.00047701,0.0013106,12.557,0.03691,1040,55.1,15.05,0.52968,200.22,0.25912,0.094337
0.2175,0.000488,0.0013408,12.703,0.037341,1039.9,55.098,15.049,0.52963,200.22,0.25912,0.096578
0.22,0.00049911,0.0013713,12.85,0.037772,1039.9,55.101,15.048,0.52961,200.22,0.25912,0.098846
0.2225,0.00051035,0.0014022,12.997,0.038202,1039.8,55.103,15.046,0.52959,200.22,0.25913,0.10114
0.225,0.00052171,0.0014334,13.143,0.038633,1039.8,55.106,15.045,0.52957,200.22,0.25913,0.10346
0.2275,0.0005332,0.001465,13.29,0.039064,1039.8,55.107,15.044,0.52954,200.22,0.25913,0.10581
0.23,0.00054481,0.0014969,13.436,0.039495,1039.7,55.109,15.042,0.52952,200.22,0.25913,0.10818
0.2325,0.00055655,0.0015291,13.583,0.039926,1039.6,55.108,15.041,0.52946,200.22,0.25913,0.11058
0.235,0.00056842,0.0015617,13.73,0.040357,1039.6,55.111,15.04,0.52945,200.22,0.25913,0.11301
