Time(s),x(km),y(km),Velocity(m/s),Mach,Thrust(N),Acceleration(m/s2),Mass(kg),mdot(kg/s),Isp(s),Cd,DynPres(kPa)
0,0,0,0.447,0,0,0,15.161,0,0,0,0
0.0025,8.4657e-08,1.2107e-06,0.447,0.0013139,382.17,15.34,15.161,0.19464,200.22,0.259,0.00012288
0.005,1.815e-07,2.5956e-06,0.48544,0.0014269,572.73,27.88,15.16,0.29169,200.22,0.259,0.0001224
0.0075,2.9458e-07,4.2127e-06,0.55531,0.0016323,713.67,37.157,15.159,0.36347,200.22,0.259,0.00014436
0.01,4.2815e-07,6.1228e-06,0.64843,0.001906,861.28,46.873,15.158,0.43864,200.22,0.25901,0.00018891
0.0125,5.8408e-07,8.3528e-06,0.7659,0.0022513,926.69,51.182,15.157,0.47196,200.22,0.25901,0.00025757
0.015,7.6354e-07,1.0919e-05,0.89417,0.0026283,966.67,53.819,15.156,0.49232,200.22,0.25901,0.00035935
0.0175,9.6725e-07,1.3832e-05,1.029,0.0030247,991.96,55.488,15.155,0.5052,200.22,0.25901,0.00048979
0.02,1.1957e-06,1.7099e-05,1.1681,0.0034335,1008.6,56.587,15.154,0.51366,200.22,0.25901,0.00064869
0.0225,1.4492e-06,2.0724e-05,1.3099,0.0038503,1019.7,57.324,15.152,0.51931,200.22,0.25901,0.00083586
0.025,1.7279e-06,2.4711e-05,1.4536,0.0042726,1027.2,57.824,15.151,0.52313,200.22,0.25901,0.0010511
0.0275,2.0321e-06,2.9061e-05,1.5985,0.0046986,1032.3,58.169,15.15,0.52576,200.22,0.25901,0.0012943
0.03,2.3618e-06,3.3776e-05,1.7443,0.0051271,1035.8,58.406,15.148,0.52755,200.22,0.25902,0.0015653
0.0325,2.7171e-06,3.8857e-05,1.8906,0.0055573,1038.3,58.571,15.147,0.52878,200.22,0.25902,0.0018638
0.035,3.0981e-06,4.4305e-05,2.0374,0.0059887,1040,58.689,15.146,0.52965,200.22,0.25902,0.0021897
0.0375,3.5047e-06,5.012e-05,2.1845,0.0064211,1041.1,58.767,15.144,0.5302,200.22,0.25902,0.0025429
0.04,3.9371e-06,5.6303e-05,2.3318,0.006854,1041.9,58.827,15.143,0.53063,200.22,0.25902,0.0029233
0.0425,4.3952e-06,6.2854e-05,2.4792,0.0072873,1042.4,58.868,15.142,0.5309,200.22,0.25902,0.0033308
0.045,4.879e-06,6.9773e-05,2.6267,0.007721,1042.7,58.894,15.14,0.53105,200.22,0.25902,0.0037653
0.0475,5.3886e-06,7.706e-05,2.7743,0.0081548,1043,58.917,15.139,0.53118,200.22,0.25903,0.0042267
0.05,5.9239e-06,8.4716e-05,2.922,0.0085888,1043.1,58.933,15.138,0.53126,200.22,0.25903,0.004715
0.0525,6.485e-06,9.274e-05,3.0697,0.0090229,1043.2,58.944,15.137,0.5313,200.22,0.25903,0.0052303
0.055,7.0718e-06,0.00010113,3.2174,0.0094571,1043.3,58.953,15.135,0.53133,200.22,0.25903,0.0057724
0.0575,7.6844e-06,0.00010989,3.3651,0.0098914,1043.2,58.957,15.134,0.53131,200.22,0.25903,0.0063413
0.06,8.3228e-06,0.00011902,3.5129,0.010326,1043.3,58.964,15.133,0.53132,200.22,0.25903,0.006937
0.0625,8.987e-06,0.00012852,3.6607,0.01076,1043.2,58.968,15.131,0.5313,200.22,0.25903,0.0075596
0.065,9.6769e-06,0.00013839,3.8084,0.011194,1043.2,58.972,15.13,0.53129,200.22,0.25904,0.0082089
