Time(s),x(km),y(km),Velocity(m/s),Mach,Thrust(N),Acceleration(m/s2),Mass(kg),mdot(kg/s),Isp(s),Cd,DynPres(kPa)
0,0,0,0.447,0,0,0,15.161,0,0,0,0
0.0025,3.3388e-07,1.1644e-06,0.447,0.0013139,382.17,14.425,15.161,0.19464,200.22,0.259,0.00012288
0.005,7.1526e-07,2.4944e-06,0.48452,0.0014242,572.73,26.509,15.16,0.29169,200.22,0.259,0.0001224
0.0075,1.1602e-06,4.046e-06,0.55346,0.0016268,713.67,35.448,15.159,0.36347,200.22,0.259,0.00014381
0.01,1.6854e-06,5.8777e-06,0.64565,0.0018978,861.28,44.811,15.158,0.43864,200.22,0.25901,0.00018765
0.0125,2.2984e-06,8.0153e-06,0.76219,0.0022404,926.69,48.963,15.157,0.47196,200.22,0.25901,0.00025537
0.015,3.0036e-06,1.0475e-05,0.88953,0.0026147,966.67,51.503,15.156,0.49232,200.22,0.25901,0.00035588
0.0175,3.8041e-06,1.3266e-05,1.0235,0.0030084,991.96,53.112,15.155,0.5052,200.22,0.25901,0.00048472
0.02,4.7016e-06,1.6397e-05,1.1616,0.0034144,1008.6,54.171,15.154,0.51366,200.22,0.25901,0.00064169
0.0225,5.6975e-06,1.987e-05,1.3025,0.0038285,1019.7,54.881,15.152,0.51931,200.22,0.25901,0.00082659
0.025,6.7926e-06,2.3689e-05,1.4452,0.0042481,1027.2,55.363,15.151,0.52313,200.22,0.25901,0.0010393
0.0275,7.9876e-06,2.7856e-05,1.5892,0.0046713,1032.3,55.696,15.15,0.52576,200.22,0.25901,0.0012795
0.03,9.2827e-06,3.2373e-05,1.7341,0.005097,1035.8,55.924,15.148,0.52755,200.22,0.25902,0.0015472
0.0325,1.0678e-05,3.724e-05,1.8795,0.0055246,1038.3,56.082,15.147,0.52878,200.22,0.25902,0.001842
0.035,1.2175e-05,4.2458e-05,2.0254,0.0059533,1040,56.197,15.146,0.52965,200.22,0.25902,0.002164
0.0375,1.3772e-05,4.8029e-05,2.1715,0.0063829,1041.1,56.271,15.144,0.5302,200.22,0.25902,0.0025129
0.04,1.547e-05,5.3951e-05,2.3179,0.0068131,1041.9,56.33,15.143,0.53063,200.22,0.25902,0.0028886
0.0425,1.7269e-05,6.0225e-05,2.4644,0.0072437,1042.4,56.369,15.142,0.5309,200.22,0.25902,0.0032911
0.045,1.917e-05,6.6852e-05,2.611,0.0076746,1042.7,56.394,15.14,0.53105,200.22,0.25902,0.0037203
0.0475,2.1171e-05,7.3832e-05,2.7576,0.0081057,1043,56.416,15.139,0.53118,200.22,0.25903,0.0041761
0.05,2.3274e-05,8.1164e-05,2.9044,0.008537,1043.1,56.431,15.138,0.53126,200.22,0.25903,0.0046584
0.0525,2.5477e-05,8.8849e-05,3.0511,0.0089684,1043.2,56.442,15.137,0.5313,200.22,0.25903,0.0051673
0.055,2.7782e-05,9.6887e-05,3.1979,0.0093998,1043.3,56.451,15.135,0.53133,200.22,0.25903,0.0057028
0.0575,3.0188e-05,0.00010528,3.3447,0.0098314,1043.2,56.454,15.134,0.53131,200.22,0.25903,0.0062647
0.06,3.2695e-05,0.00011402,3.4915,0.010263,1043.3,56.461,15.133,0.53132,200.22,0.25903,0.0068531
0.0625,3.5304e-05,0.00012312,3.6384,0.010695,1043.2,56.465,15.131,0.5313,200.22,0.25903,0.007468
0.065,3.8013e-05,0.00013257,3.7852,0.011126,1043.2,56.469,15.13,0.53129,200.22,0.25904,0.0081093
0.0675,4.0824e-05,0.00014237,3.9321,0.011558,1043.2,56.475,15.129,0.53129,200.22,0.25904,0.0087771
0.07,4.3736e-05,0.00015253,4.079,0.01199,1043.1,56.474,15.127,0.53124,200.22,0.25904,0.0094714
0.0725,4.6749e-05,0.00016303,4.2259,0.012421,1043.1,56.479,15.126,0.53124,200.22,0.25904,0.010192
0.075,4.9864e-05,0.0001739,4.3727,0.012853,1043,56.481,15.125,0.53121,200.22,0.25904,0.010939
0.0775,5.3079e-05,0.00018511,4.5196,0.013285,1043,56.484,15.123,0.53119,200.22,0.25904,0.011713
0.08,5.6396e-05,0.00019668,4.6665,0.013717,1042.9,56.486,15.122,0.53116,200.22,0.25904,0.012513
0.0825,5.9814e-05,0.0002086,4.8134,0.014149,1042.9,56.489,15.121,0.53114,200.22,0.25905,0.01334
0.085,6.3334e-05,0.00022087,4.9604,0.01458,1042.8,56.488,15.119,0.53108,200.22,0.25905,0.014193
0.0875,6.6954e-05,0.0002335,5.1073,0.015012,1042.8,56.491,15.118,0.53107,200.22,0.25905,0.015073
0.09,7.0676e-05,0.00024648,5.2542,0.015444,1042.7,56.493,15.117,0.53104,200.22,0.25905,0.015979
0.0925,7.4499e-05,0.00025981,5.4011,0.015876,1042.7,56.496,15.115,0.53102,200.22,0.25905,0.016911
0.095,7.8424e-05,0.0002735,5.548,0.016308,1042.6,56.498,15.114,0.53099,200.22,0.25905,0.01787
0.0975,8.2449e-05,0.00028754,5.695,0.01674,1042.6,56.501,15.113,0.53097,200.22,0.25905,0.018856
0.1,8.6576e-05,0.00030193,5.8419,0.017172,1042.5,56.499,15.111,0.53091,200.22,0.25906,0.019868
0.1025,9.0804e-05,0.00031667,5.9889,0.017604,1042.4,56.503,15.11,0.5309,200.22,0.25906,0.020906
0.105,9.5134e-05,0.00033177,6.1358,0.018035,1042.4,56.505,15.109,0.53087,200.22,0.25906,0.021971
0.1075,9.9565e-05,0.00034722,6.2828,0.018467,1042.3,56.508,15.107,0.53085,200.22,0.25906,0.023062
0.11,0.0001041,0.00036303,6.4297,0.018899,1042.3,56.51,15.106,0.53082,200.22,0.25906,0.02418
0.1125,0.00010873,0.00037919,6.5767,0.019331,1042.2,56.513,15.105,0.5308,200.22,0.25906,0.025325
0.115,0.00011346,0.0003957,6.7237,0.019763,1042.1,56.511,15.103,0.53074,200.22,0.25906,0.026495
0.1175,0.0001183,0.00041256,6.8707,0.020195,1042.1,56.515,15.102,0.53073,200.22,0.25907,0.027693
0.12,0.00012324,0.00042978,7.0176,0.020627,1042,56.517,15.101,0.5307,200.22,0.25907,0.028917
0.1225,0.00012828,0.00044735,7.1646,0.02106,1042,56.519,15.099,0.53068,200.22,0.25907,0.030167
0.125,0.00013342,0.00046527,7.3116,0.021492,1041.9,56.521,15.098,0.53065,200.22,0.25907,0.031444
0.1275,0.00013866,0.00048355,7.4586,0.021924,1041.9,56.524,15.097,0.53063,200.22,0.25907,0.032747
0.13,0.000144,0.00050218,7.6056,0.022356,1041.8,56.522,15.095,0.53057,200.22,0.25907,0.034077
0.1325,0.00014944,0.00052117,7.7526,0.022788,1041.8,56.526,15.094,0.53056,200.22,0.25907,0.035434
0.135,0.00015499,0.0005405,7.8996,0.02322,1041.7,56.53,15.093,0.53055,200.22,0.25908,0.036817
0.1375,0.00016063,0.00056019,8.0466,0.023652,1041.7,56.532,15.091,0.53052,200.22,0.25908,0.038226
0.14,0.00016638,0.00058024,8.1937,0.024084,1041.6,56.535,15.09,0.5305,200.22,0.25908,0.039662
