Time(s),x(km),y(km),Velocity(m/s),Mach,Thrust(N),Acceleration(m/s2),Mass(kg),mdot(kg/s),Isp(s),Cd,DynPres(kPa)
0,0,0,0.447,0,0,0,15.161,0,0,0,0
0.0025,1.6884e-07,1.2014e-06,0.447,0.0013139,382.17,15.156,15.161,0.19464,200.22,0.259,0.00012288
0.005,3.6193e-07,2.5752e-06,0.48526,0.0014264,572.73,27.605,15.16,0.29169,200.22,0.259,0.0001224
0.0075,5.8735e-07,4.1792e-06,0.55495,0.0016312,713.67,36.813,15.159,0.36347,200.22,0.259,0.00014425
0.01,8.5358e-07,6.0735e-06,0.64789,0.0019044,861.28,46.459,15.158,0.43864,200.22,0.25901,0.00018866
0.0125,1.1644e-06,8.285e-06,0.76518,0.0022491,926.69,50.736,15.157,0.47196,200.22,0.25901,0.00025714
0.015,1.522e-06,1.083e-05,0.89327,0.0026256,966.67,53.353,15.156,0.49232,200.22,0.25901,0.00035867
0.0175,1.928e-06,1.3719e-05,1.028,0.0030216,991.96,55.011,15.155,0.5052,200.22,0.25901,0.0004888
0.02,2.3833e-06,1.6958e-05,1.1668,0.0034298,1008.6,56.102,15.154,0.51366,200.22,0.25901,0.00064733
0.0225,2.8885e-06,2.0552e-05,1.3085,0.0038461,1019.7,56.833,15.152,0.51931,200.22,0.25901,0.00083405
0.025,3.444e-06,2.4505e-05,1.452,0.0042678,1027.2,57.329,15.151,0.52313,200.22,0.25901,0.0010488
0.0275,4.0502e-06,2.8819e-05,1.5967,0.0046932,1032.3,57.672,15.15,0.52576,200.22,0.25901,0.0012914
0.03,4.7073e-06,3.3494e-05,1.7423,0.0051212,1035.8,57.907,15.148,0.52755,200.22,0.25902,0.0015617
0.0325,5.4153e-06,3.8532e-05,1.8885,0.0055509,1038.3,58.071,15.147,0.52878,200.22,0.25902,0.0018595
0.035,6.1745e-06,4.3934e-05,2.0351,0.0059818,1040,58.188,15.146,0.52965,200.22,0.25902,0.0021847
0.0375,6.9849e-06,4.97e-05,2.182,0.0064136,1041.1,58.265,15.144,0.5302,200.22,0.25902,0.0025371
0.04,7.8465e-06,5.583e-05,2.3291,0.006846,1041.9,58.325,15.143,0.53063,200.22,0.25902,0.0029165
0.0425,8.7593e-06,6.2326e-05,2.4763,0.0072788,1042.4,58.366,15.142,0.5309,200.22,0.25902,0.003323
0.045,9.7235e-06,6.9186e-05,2.6237,0.0077119,1042.7,58.391,15.14,0.53105,200.22,0.25902,0.0037565
0.0475,1.0739e-05,7.6411e-05,2.7711,0.0081452,1043,58.414,15.139,0.53118,200.22,0.25903,0.0042168
0.05,1.1806e-05,8.4002e-05,2.9185,0.0085787,1043.1,58.43,15.138,0.53126,200.22,0.25903,0.004704
0.0525,1.2924e-05,9.1958e-05,3.0661,0.0090123,1043.2,58.442,15.137,0.5313,200.22,0.25903,0.005218
0.055,1.4093e-05,0.00010028,3.2136,0.009446,1043.3,58.451,15.135,0.53133,200.22,0.25903,0.0057587
0.0575,1.5314e-05,0.00010897,3.3612,0.0098797,1043.2,58.454,15.134,0.53131,200.22,0.25903,0.0063263
0.06,1.6586e-05,0.00011802,3.5087,0.010313,1043.3,58.461,15.133,0.53132,200.22,0.25903,0.0069206
0.0625,1.791e-05,0.00012743,3.6563,0.010747,1043.2,58.465,15.131,0.5313,200.22,0.25903,0.0075416
0.065,1.9285e-05,0.00013722,3.8039,0.011181,1043.2,58.469,15.13,0.53129,200.22,0.25904,0.0081894
0.0675,2.0711e-05,0.00014737,3.9515,0.011615,1043.2,58.475,15.129,0.53129,200.22,0.25904,0.008864
0.07,2.2188e-05,0.00015788,4.0992,0.012049,1043.1,58.474,15.127,0.53124,200.22,0.25904,0.0095652
0.0725,2.3717e-05,0.00016876,4.2468,0.012483,1043.1,58.479,15.126,0.53124,200.22,0.25904,0.010293
0.075,2.5298e-05,0.00018,4.3944,0.012917,1043,58.481,15.125,0.53121,200.22,0.25904,0.011048
0.0775,2.6929e-05,0.00019161,4.542,0.013351,1043,58.484,15.123,0.53119,200.22,0.25904,0.011829
0.08,2.8612e-05,0.00020359,4.6897,0.013785,1042.9,58.487,15.122,0.53116,200.22,0.25904,0.012638
0.0825,3.0347e-05,0.00021593,4.8373,0.014219,1042.9,58.49,15.121,0.53114,200.22,0.25905,0.013473
0.085,3.2133e-05,0.00022864,4.985,0.014653,1042.8,58.488,15.119,0.53108,200.22,0.25905,0.014334
0.0875,3.397e-05,0.00024171,5.1327,0.015087,1042.8,58.492,15.118,0.53107,200.22,0.25905,0.015223
0.09,3.5859e-05,0.00025515,5.2803,0.015521,1042.7,58.494,15.117,0.53104,200.22,0.25905,0.016138
0.0925,3.7798e-05,0.00026895,5.428,0.015955,1042.7,58.497,15.115,0.53102,200.22,0.25905,0.01708
0.095,3.979e-05,0.00028312,5.5757,0.016389,1042.6,58.499,15.114,0.53099,200.22,0.25905,0.018048
0.0975,4.1833e-05,0.00029765,5.7234,0.016823,1042.6,58.502,15.113,0.53097,200.22,0.25905,0.019044
0.1,4.3927e-05,0.00031255,5.8711,0.017257,1042.5,58.5,15.111,0.53091,200.22,0.25906,0.020066
0.1025,4.6072e-05,0.00032782,6.0187,0.017691,1042.4,58.504,15.11,0.5309,200.22,0.25906,0.021115
0.105,4.8269e-05,0.00034345,6.1664,0.018126,1042.4,58.506,15.109,0.53087,200.22,0.25906,0.022191
0.1075,5.0517e-05,0.00035945,6.3141,0.01856,1042.3,58.509,15.107,0.53085,200.22,0.25906,0.023293
0.11,5.2817e-05,0.00037581,6.4619,0.018994,1042.3,58.511,15.106,0.53082,200.22,0.25906,0.024422
0.1125,5.5168e-05,0.00039254,6.6096,0.019428,1042.2,58.514,15.105,0.5308,200.22,0.25906,0.025578
0.115,5.7571e-05,0.00040964,6.7573,0.019862,1042.1,58.512,15.103,0.53074,200.22,0.25906,0.026761
0.1175,6.0025e-05,0.0004271,6.905,0.020296,1042.1,58.516,15.102,0.53073,200.22,0.25907,0.02797
0.12,6.253e-05,0.00044492,7.0527,0.020731,1042,58.518,15.101,0.5307,200.22,0.25907,0.029207
0.1225,6.5086e-05,0.00046311,7.2005,0.021165,1042,58.52,15.099,0.53068,200.22,0.25907,0.03047
0.125,6.7695e-05,0.00048167,7.3482,0.021599,1041.9,58.523,15.098,0.53065,200.22,0.25907,0.03176
0.1275,7.0354e-05,0.0005006,7.496,0.022033,1041.9,58.525,15.097,0.53063,200.22,0.25907,0.033076
0.13,7.3065e-05,0.00051988,7.6437,0.022468,1041.8,58.523,15.095,0.53057,200.22,0.25907,0.034419
0.1325,7.5827e-05,0.00053954,7.7915,0.022902,1041.8,58.528,15.094,0.53056,200.22,0.25907,0.03579
0.135,7.8641e-05,0.00055956,7.9392,0.023336,1041.7,58.532,15.093,0.53055,200.22,0.25908,0.037186
0.1375,8.1506e-05,0.00057995,8.087,0.023771,1041.7,58.534,15.091,0.53052,200.22,0.25908,0.03861
0.14,8.4423e-05,0.0006007,8.2347,0.024205,1041.6,58.536,15.09,0.5305,200.22,0.25908,0.040061
0.1425,8.7391e-05,0.00062182,8.3825,0.02464,1041.6,58.538,15.089,0.53047,200.22,0.25908,0.041538
0.145,9.041e-05,0.0006433,8.5303,0.025074,1041.5,58.537,15.087,0.53042,200.22,0.25908,0.043042
0.1475,9.3481e-05,0.00066515,8.6781,0.025508,1041.5,58.541,15.086,0.53041,200.22,0.25908,0.044573
0.15,9.6603e-05,0.00068737,8.8259,0.025943,1041.4,58.542,15.085,0.53038,200.22,0.25909,0.046131
0.1525,9.9777e-05,0.00070995,8.9737,0.026377,1041.4,58.545,15.083,0.53036,200.22,0.25909,0.047715
0.155,0.000103,0.0007329,9.1215,0.026812,1041.3,58.548,15.082,0.53033,200.22,0.25909,0.049327
0.1575,0.00010628,0.00075621,9.2693,0.027246,1041.3,58.55,15.081,0.5303,200.22,0.25909,0.050965
0.16,0.00010961,0.00077989,9.4171,0.027681,1041.2,58.549,15.079,0.53025,200.22,0.25909,0.05263
0.1625,0.00011299,0.00080394,9.5649,0.028115,1041.1,58.552,15.078,0.53024,200.22,0.25909,0.054322
0.165,0.00011642,0.00082835,9.7127,0.02855,1041.1,58.554,15.077,0.53021,200.22,0.25909,0.05604
0.1675,0.0001199,0.00085312,9.8606,0.028984,1041,58.556,15.075,0.53019,200.22,0.2591,0.057786
0.17,0.00012343,0.00087827,10.008,0.029419,1041,58.559,15.074,0.53016,200.22,0.2591,0.059558
0.1725,0.00012702,0.00090378,10.156,0.029853,1040.9,58.561,15.073,0.53014,200.22,0.2591,0.061357
0.175,0.00013065,0.00092965,10.304,0.030288,1040.8,58.559,15.071,0.53009,200.22,0.2591,0.063183
0.1775,0.00013434,0.00095589,10.452,0.030722,1040.8,58.563,15.07,0.53007,200.22,0.2591,0.065035
0.18,0.00013808,0.0009825,10.6,0.031157,1040.8,58.565,15.069,0.53005,200.22,0.2591,0.066915
0.1825,0.00014187,0.0010095,10.748,0.031591,1040.7,58.567,15.068,0.53002,200.22,0.2591,0.068821
0.185,0.00014571,0.0010368,10.895,0.032026,1040.7,58.569,15.066,0.52999,200.22,0.25911,0.070754
0.1875,0.00014961,0.0010645,11.043,0.032461,1040.5,58.568,15.065,0.52994,200.22,0.25911,0.072714
0.19,0.00015355,0.0010926,11.191,0.032895,1040.5,58.571,15.064,0.52993,200.22,0.25911,0.074701
0.1925,0.00015755,0.001121,11.339,0.03333,1040.5,58.573,15.062,0.5299,200.22,0.25911,0.076714
0.195,0.0001616,0.0011498,11.487,0.033765,1040.4,58.575,15.061,0.52988,200.22,0.25911,0.078755
0.1975,0.0001657,0.001179,11.635,0.034199,1040.4,58.577,15.06,0.52985,200.22,0.25911,0.080822
0.2,0.00016985,0.0012085,11.783,0.034634,1040.3,58.58,15.058,0.52983,200.22,0.25911,0.082916
0.2025,0.00017405,0.0012384,11.931,0.035069,1040.2,58.578,15.057,0.52978,200.22,0.25912,0.085037
0.205,0.00017831,0.0012687,12.078,0.035503,1040.2,58.584,15.056,0.52978,200.22,0.25912,0.087185
0.2075,0.00018261,0.0012993,12.226,0.035938,1040.2,58.586,15.054,0.52975,200.22,0.25912,0.089359
0.21,0.00018697,0.0013303,12.374,0.036373,1040.1,58.588,15.053,0.52973,200.22,0.25912,0.091561
0.2125,0.00019138,0.0013617,12.522,0.036808,1040.1,58.59,15.052,0.5297,200.22,0.25912,0.093789
0.215,0.00019584,0.0013934,12.67,0.037243,1040,58.593,15.05,0.52968,200.22,0.25912,0.096045
