Time(s),x(km),y(km),Velocity(m/s),Mach,Thrust(N),Acceleration(m/s2),Mass(kg),mdot(kg/s),Isp(s),Cd,DynPres(kPa)
0,0,0,0.447,0,0,0,15.161,0,0,0,0
0.0025,3.741e-07,1.1514e-06,0.447,0.0013139,382.17,14.168,15.161,0.19464,200.22,0.259,0.00012288
0.005,8.0125e-07,2.466e-06,0.48424,0.0014234,572.73,26.123,15.16,0.29169,200.22,0.259,0.0001224
0.0075,1.2994e-06,3.9991e-06,0.55291,0.0016252,713.67,34.967,15.159,0.36347,200.22,0.259,0.00014365
0.01,1.8874e-06,5.8088e-06,0.64483,0.0018954,861.28,44.231,15.158,0.43864,200.22,0.25901,0.00018728
0.0125,2.5735e-06,7.9205e-06,0.7611,0.0022371,926.69,48.339,15.157,0.47196,200.22,0.25901,0.00025472
0.015,3.3629e-06,1.035e-05,0.88816,0.0026106,966.67,50.852,15.156,0.49232,200.22,0.25901,0.00035485
0.0175,4.2588e-06,1.3107e-05,1.0218,0.0030036,991.96,52.444,15.155,0.5052,200.22,0.25901,0.00048323
0.02,5.2634e-06,1.6199e-05,1.1597,0.0034088,1008.6,53.492,15.154,0.51366,200.22,0.25901,0.00063964
0.0225,6.378e-06,1.9629e-05,1.3003,0.0038221,1019.7,54.195,15.152,0.51931,200.22,0.25901,0.00082387
0.025,7.6036e-06,2.3401e-05,1.4428,0.0042408,1027.2,54.671,15.151,0.52313,200.22,0.25901,0.0010358
0.0275,8.9409e-06,2.7517e-05,1.5865,0.0046632,1032.3,55,15.15,0.52576,200.22,0.25901,0.0012751
0.03,1.039e-05,3.1978e-05,1.7311,0.0050882,1035.8,55.226,15.148,0.52755,200.22,0.25902,0.0015418
0.0325,1.1952e-05,3.6785e-05,1.8762,0.0055149,1038.3,55.383,15.147,0.52878,200.22,0.25902,0.0018356
0.035,1.3627e-05,4.1939e-05,2.0218,0.0059428,1040,55.496,15.146,0.52965,200.22,0.25902,0.0021564
0.0375,1.5414e-05,4.7441e-05,2.1677,0.0063716,1041.1,55.57,15.144,0.5302,200.22,0.25902,0.0025041
0.04,1.7315e-05,5.329e-05,2.3138,0.006801,1041.9,55.628,15.143,0.53063,200.22,0.25902,0.0028785
0.0425,1.9328e-05,5.9487e-05,2.46,0.0072308,1042.4,55.667,15.142,0.5309,200.22,0.25902,0.0032795
0.045,2.1455e-05,6.6031e-05,2.6063,0.0076609,1042.7,55.691,15.14,0.53105,200.22,0.25902,0.0037071
0.0475,2.3695e-05,7.2925e-05,2.7527,0.0080912,1043,55.713,15.139,0.53118,200.22,0.25903,0.0041612
0.05,2.6048e-05,8.0166e-05,2.8992,0.0085217,1043.1,55.728,15.138,0.53126,200.22,0.25903,0.0046418
0.0525,2.8514e-05,8.7756e-05,3.0456,0.0089523,1043.2,55.739,15.137,0.5313,200.22,0.25903,0.0051488
0.055,3.1093e-05,9.5694e-05,3.1922,0.0093829,1043.3,55.748,15.135,0.53133,200.22,0.25903,0.0056823
0.0575,3.3785e-05,0.00010398,3.3387,0.0098137,1043.2,55.751,15.134,0.53131,200.22,0.25903,0.0062422
0.06,3.6591e-05,0.00011262,3.4853,0.010244,1043.3,55.758,15.133,0.53132,200.22,0.25903,0.0068285
0.0625,3.951e-05,0.0001216,3.6318,0.010675,1043.2,55.761,15.131,0.5313,200.22,0.25903,0.0074411
0.065,4.2542e-05,0.00013093,3.7784,0.011106,1043.2,55.766,15.13,0.53129,200.22,0.25904,0.0080801
0.0675,4.5688e-05,0.00014061,3.925,0.011537,1043.2,55.771,15.129,0.53129,200.22,0.25904,0.0087454
0.07,4.8947e-05,0.00015064,4.0716,0.011968,1043.1,55.77,15.127,0.53124,200.22,0.25904,0.0094372
0.0725,5.2319e-05,0.00016102,4.2182,0.012399,1043.1,55.775,15.126,0.53124,200.22,0.25904,0.010155
0.075,5.5804e-05,0.00017175,4.3648,0.01283,1043,55.777,15.125,0.53121,200.22,0.25904,0.0109
0.0775,5.9402e-05,0.00018282,4.5114,0.013261,1043,55.78,15.123,0.53119,200.22,0.25904,0.011671
0.08,6.3114e-05,0.00019425,4.6581,0.013692,1042.9,55.782,15.122,0.53116,200.22,0.25904,0.012468
0.0825,6.6939e-05,0.00020602,4.8047,0.014123,1042.9,55.785,15.121,0.53114,200.22,0.25905,0.013291
0.085,7.0878e-05,0.00021814,4.9513,0.014554,1042.8,55.784,15.119,0.53108,200.22,0.25905,0.014141
0.0875,7.4929e-05,0.00023061,5.098,0.014985,1042.8,55.788,15.118,0.53107,200.22,0.25905,0.015018
0.09,7.9094e-05,0.00024343,5.2446,0.015416,1042.7,55.789,15.117,0.53104,200.22,0.25905,0.01592
0.0925,8.3373e-05,0.00025659,5.3913,0.015847,1042.7,55.792,15.115,0.53102,200.22,0.25905,0.01685
0.095,8.7764e-05,0.00027011,5.5379,0.016278,1042.6,55.795,15.114,0.53099,200.22,0.25905,0.017805
0.0975,9.2269e-05,0.00028398,5.6846,0.016709,1042.6,55.797,15.113,0.53097,200.22,0.25905,0.018787
0.1,9.6887e-05,0.00029819,5.8313,0.01714,1042.5,55.795,15.111,0.53091,200.22,0.25906,0.019795
0.1025,0.00010162,0.00031275,5.9779,0.017571,1042.4,55.8,15.11,0.5309,200.22,0.25906,0.02083
0.105,0.00010646,0.00032766,6.1246,0.018003,1042.4,55.801,15.109,0.53087,200.22,0.25906,0.021891
0.1075,0.00011142,0.00034292,6.2713,0.018434,1042.3,55.804,15.107,0.53085,200.22,0.25906,0.022978
0.11,0.00011649,0.00035853,6.418,0.018865,1042.3,55.806,15.106,0.53082,200.22,0.25906,0.024092
0.1125,0.00012168,0.00037449,6.5647,0.019296,1042.2,55.809,15.105,0.5308,200.22,0.25906,0.025232
0.115,0.00012698,0.00039079,6.7114,0.019727,1042.1,55.807,15.103,0.53074,200.22,0.25906,0.026399
0.1175,0.00013239,0.00040745,6.8581,0.020158,1042.1,55.811,15.102,0.53073,200.22,0.25907,0.027592
0.12,0.00013791,0.00042445,7.0048,0.02059,1042,55.813,15.101,0.5307,200.22,0.25907,0.028811
0.1225,0.00014355,0.0004418,7.1515,0.021021,1042,55.815,15.099,0.53068,200.22,0.25907,0.030057
0.125,0.0001493,0.00045951,7.2982,0.021452,1041.9,55.817,15.098,0.53065,200.22,0.25907,0.031329
0.1275,0.00015517,0.00047756,7.4449,0.021883,1041.9,55.819,15.097,0.53063,200.22,0.25907,0.032627
0.13,0.00016115,0.00049595,7.5917,0.022315,1041.8,55.818,15.095,0.53057,200.22,0.25907,0.033952
0.1325,0.00016724,0.0005147,7.7384,0.022746,1041.8,55.822,15.094,0.53056,200.22,0.25907,0.035304
0.135,0.00017344,0.0005338,7.8851,0.023177,1041.7,55.826,15.093,0.53055,200.22,0.25908,0.036682
0.1375,0.00017976,0.00055325,8.0319,0.023609,1041.7,55.828,15.091,0.53052,200.22,0.25908,0.038086
0.14,0.00018619,0.00057304,8.1786,0.02404,1041.6,55.83,15.09,0.5305,200.22,0.25908,0.039517
0.1425,0.00019274,0.00059318,8.3254,0.024471,1041.6,55.832,15.089,0.53047,200.22,0.25908,0.040974
0.145,0.0001994,0.00061368,8.4721,0.024903,1041.5,55.831,15.087,0.53042,200.22,0.25908,0.042457
0.1475,0.00020617,0.00063452,8.6189,0.025334,1041.5,55.835,15.086,0.53041,200.22,0.25908,0.043967
0.15,0.00021305,0.00065571,8.7657,0.025766,1041.4,55.836,15.085,0.53038,200.22,0.25908,0.045504
0.1525,0.00022005,0.00067725,8.9124,0.026197,1041.4,55.839,15.083,0.53036,200.22,0.25909,0.047067
0.155,0.00022716,0.00069914,9.0592,0.026629,1041.3,55.841,15.082,0.53033,200.22,0.25909,0.048656
0.1575,0.00023439,0.00072137,9.206,0.02706,1041.3,55.843,15.081,0.5303,200.22,0.25909,0.050272
0.16,0.00024173,0.00074396,9.3528,0.027492,1041.2,55.842,15.079,0.53025,200.22,0.25909,0.051914
0.1625,0.00024918,0.0007669,9.4996,0.027923,1041.1,55.846,15.078,0.53024,200.22,0.25909,0.053583
0.165,0.00025675,0.00079018,9.6464,0.028355,1041.1,55.847,15.077,0.53021,200.22,0.25909,0.055278
0.1675,0.00026442,0.00081381,9.7932,0.028786,1041,55.85,15.075,0.53019,200.22,0.25909,0.056999
0.17,0.00027222,0.0008378,9.94,0.029218,1041,55.852,15.074,0.53016,200.22,0.2591,0.058747
0.1725,0.00028012,0.00086213,10.087,0.029649,1040.9,55.854,15.073,0.53014,200.22,0.2591,0.060521
0.175,0.00028814,0.00088681,10.234,0.030081,1040.8,55.853,15.071,0.53009,200.22,0.2591,0.062322
0.1775,0.00029628,0.00091184,10.38,0.030512,1040.8,55.856,15.07,0.53007,200.22,0.2591,0.06415
