Time(s),x(km),y(km),Velocity(m/s),Mach,Thrust(N),Acceleration(m/s2),Mass(kg),mdot(kg/s),Isp(s),Cd,DynPres(kPa)
0,0,0,0.447,0,0,0,15.161,0,0,0,0
0.0025,2.106e-07,1.1944e-06,0.447,0.0013139,382.17,15.019,15.161,0.19464,200.22,0.259,0.00012288
0.005,4.514e-07,2.56e-06,0.48513,0.001426,572.73,27.398,15.16,0.29169,200.22,0.259,0.0001224
0.0075,7.3248e-07,4.1541e-06,0.55468,0.0016304,713.67,36.556,15.159,0.36347,200.22,0.259,0.00014417
0.01,1.0644e-06,6.0367e-06,0.64748,0.0019032,861.28,46.149,15.158,0.43864,200.22,0.25901,0.00018847
0.0125,1.4519e-06,8.2342e-06,0.76463,0.0022475,926.69,50.403,15.157,0.47196,200.22,0.25901,0.00025682
0.015,1.8978e-06,1.0763e-05,0.89258,0.0026236,966.67,53.005,15.156,0.49232,200.22,0.25901,0.00035816
0.0175,2.4039e-06,1.3633e-05,1.0271,0.0030191,991.96,54.653,15.155,0.5052,200.22,0.25901,0.00048805
0.02,2.9715e-06,1.6852e-05,1.1659,0.0034269,1008.6,55.738,15.154,0.51366,200.22,0.25901,0.00064629
0.0225,3.6013e-06,2.0424e-05,1.3074,0.0038429,1019.7,56.466,15.152,0.51931,200.22,0.25901,0.00083268
0.025,4.2938e-06,2.4352e-05,1.4507,0.0042642,1027.2,56.959,15.151,0.52313,200.22,0.25901,0.0010471
0.0275,5.0495e-06,2.8637e-05,1.5953,0.0046892,1032.3,57.3,15.15,0.52576,200.22,0.25901,0.0012892
0.03,5.8687e-06,3.3283e-05,1.7408,0.0051168,1035.8,57.534,15.148,0.52755,200.22,0.25902,0.001559
0.0325,6.7513e-06,3.8289e-05,1.8868,0.0055461,1038.3,57.696,15.147,0.52878,200.22,0.25902,0.0018563
0.035,7.6978e-06,4.3656e-05,2.0333,0.0059766,1040,57.813,15.146,0.52965,200.22,0.25902,0.0021809
0.0375,8.708e-06,4.9385e-05,2.1801,0.006408,1041.1,57.89,15.144,0.5302,200.22,0.25902,0.0025326
0.04,9.782e-06,5.5477e-05,2.327,0.0068399,1041.9,57.95,15.143,0.53063,200.22,0.25902,0.0029114
0.0425,1.092e-05,6.193e-05,2.4741,0.0072723,1042.4,57.99,15.142,0.5309,200.22,0.25902,0.0033171
0.045,1.2122e-05,6.8747e-05,2.6213,0.0077051,1042.7,58.015,15.14,0.53105,200.22,0.25902,0.0037498
0.0475,1.3388e-05,7.5926e-05,2.7686,0.008138,1043,58.038,15.139,0.53118,200.22,0.25903,0.0042093
0.05,1.4718e-05,8.3468e-05,2.9159,0.008571,1043.1,58.054,15.138,0.53126,200.22,0.25903,0.0046956
0.0525,1.6111e-05,9.1373e-05,3.0633,0.0090042,1043.2,58.065,15.137,0.5313,200.22,0.25903,0.0052086
0.055,1.7569e-05,9.964e-05,3.2107,0.0094375,1043.3,58.074,15.135,0.53133,200.22,0.25903,0.0057484
0.0575,1.9091e-05,0.00010827,3.3581,0.0098708,1043.2,58.077,15.134,0.53131,200.22,0.25903,0.006315
0.06,2.0677e-05,0.00011727,3.5056,0.010304,1043.3,58.084,15.133,0.53132,200.22,0.25903,0.0069082
0.0625,2.2327e-05,0.00012662,3.653,0.010738,1043.2,58.088,15.131,0.5313,200.22,0.25903,0.0075281
0.065,2.4041e-05,0.00013634,3.8005,0.011171,1043.2,58.093,15.13,0.53129,200.22,0.25904,0.0081747
0.0675,2.5819e-05,0.00014642,3.948,0.011605,1043.2,58.098,15.129,0.53129,200.22,0.25904,0.008848
0.07,2.7661e-05,0.00015687,4.0954,0.012038,1043.1,58.098,15.127,0.53124,200.22,0.25904,0.0095479
0.0725,2.9567e-05,0.00016768,4.2429,0.012472,1043.1,58.103,15.126,0.53124,200.22,0.25904,0.010275
0.075,3.1537e-05,0.00017885,4.3904,0.012905,1043,58.105,15.125,0.53121,200.22,0.25904,0.011028
0.0775,3.3571e-05,0.00019039,4.5379,0.013339,1043,58.108,15.123,0.53119,200.22,0.25904,0.011808
0.08,3.5669e-05,0.00020229,4.6854,0.013772,1042.9,58.11,15.122,0.53116,200.22,0.25904,0.012615
0.0825,3.7831e-05,0.00021455,4.833,0.014206,1042.9,58.113,15.121,0.53114,200.22,0.25905,0.013448
0.085,4.0057e-05,0.00022717,4.9805,0.014639,1042.8,58.112,15.119,0.53108,200.22,0.25905,0.014308
0.0875,4.2347e-05,0.00024016,5.128,0.015073,1042.8,58.115,15.118,0.53107,200.22,0.25905,0.015195
0.09,4.4701e-05,0.00025351,5.2755,0.015507,1042.7,58.117,15.117,0.53104,200.22,0.25905,0.016109
0.0925,4.712e-05,0.00026723,5.4231,0.01594,1042.7,58.12,15.115,0.53102,200.22,0.25905,0.017049
0.095,4.9602e-05,0.00028131,5.5706,0.016374,1042.6,58.123,15.114,0.53099,200.22,0.25905,0.018016
0.0975,5.2149e-05,0.00029575,5.7182,0.016808,1042.6,58.125,15.113,0.53097,200.22,0.25905,0.019009
0.1,5.4759e-05,0.00031055,5.8657,0.017242,1042.5,58.123,15.111,0.53091,200.22,0.25906,0.02003
0.1025,5.7434e-05,0.00032572,6.0133,0.017675,1042.4,58.128,15.11,0.5309,200.22,0.25906,0.021077
0.105,6.0172e-05,0.00034125,6.1608,0.018109,1042.4,58.129,15.109,0.53087,200.22,0.25906,0.02215
0.1075,6.2975e-05,0.00035715,6.3084,0.018543,1042.3,58.132,15.107,0.53085,200.22,0.25906,0.023251
0.11,6.5842e-05,0.00037341,6.456,0.018977,1042.3,58.134,15.106,0.53082,200.22,0.25906,0.024378
0.1125,6.8772e-05,0.00039003,6.6035,0.01941,1042.2,58.137,15.105,0.5308,200.22,0.25906,0.025532
0.115,7.1767e-05,0.00040701,6.7511,0.019844,1042.1,58.135,15.103,0.53074,200.22,0.25906,0.026712
0.1175,7.4826e-05,0.00042436,6.8987,0.020278,1042.1,58.139,15.102,0.53073,200.22,0.25907,0.027919
0.12,7.7949e-05,0.00044207,7.0463,0.020712,1042,58.141,15.101,0.5307,200.22,0.25907,0.029153
0.1225,8.1136e-05,0.00046015,7.1939,0.021146,1042,58.144,15.099,0.53068,200.22,0.25907,0.030414
0.125,8.4387e-05,0.00047859,7.3415,0.021579,1041.9,58.146,15.098,0.53065,200.22,0.25907,0.031701
0.1275,8.7703e-05,0.00049739,7.4891,0.022013,1041.9,58.148,15.097,0.53063,200.22,0.25907,0.033016
0.13,9.1082e-05,0.00051655,7.6367,0.022447,1041.8,58.147,15.095,0.53057,200.22,0.25907,0.034356
0.1325,9.4525e-05,0.00053608,7.7843,0.022881,1041.8,58.151,15.094,0.53056,200.22,0.25907,0.035724
0.135,9.8033e-05,0.00055597,7.9319,0.023315,1041.7,58.155,15.093,0.53055,200.22,0.25908,0.037118
0.1375,0.0001016,0.00057623,8.0796,0.023749,1041.7,58.157,15.091,0.53052,200.22,0.25908,0.038539
